"participant_id","id","degree","type","origin_id","network_id","register_trial","max_num_diff_pitches_allowed","reference_pitch","target_pitch1","target_pitch2","num_target_pitches","target_interval1","sung_pitch1","sung_pitch2","num_sung_pitches","sung_interval1","in2ref_1","in2ref_2","save_plot","stats","max_abs_pitch_error","max_abs_interval_error","direction_accuracy","root_mean_squared_pitch","root_mean_squared_interval","full","trial_maker_id","net_n_trials","net_n_failed_trials","net_num_notes","register_source","sung_median_pitch","register","predicted_register","singing_performance","GMSI_SA","GMSI_MT","age","gender","mt","confirm_sung_intervals","pitch_RMSE","interval_RMSE","int_class"
"121b2",1952,4,"custom_trial",1473,"69b2","low",0,62.7560907590996,60.8442976924714,52.2591298519431,2,-8.58516784052832,60.8495319127548,53.01637496506,2,-7.83315694769485,-1.90655884634474,-9.73971579403959,TRUE,"2,2,0.00523422028341969,0.757245113116895,0.381239666700157,0.757245113116895,0.5354659458833,0.752010892833475,0.752010892833475,0.752010892833475,0.752010892833475,100",0.757245113116895,0.752010892833475,100,0.5354659458833,0.752010892833475,TRUE,"singing_block1",10,0,NA,NA,49.4579612231358,"low","low",8,4.285714,2,38,"male",1,-7.83315694769485,0.5354659458833,0.752010892833475,"middle"
"117b2",1719,5,"custom_trial",940,"162b2","high",0,59.6588768888007,58.9383716595339,56.915657814084,2,-2.02271384544991,59.2540007708783,57.7996037991968,2,-1.45439697168155,-0.404876117922399,-1.85927308960395,TRUE,"2,2,0.315629111344407,0.883945985112767,0.599787548228587,0.883945985112767,0.663695050653928,0.56831687376836,0.56831687376836,0.56831687376836,0.56831687376836,100",0.883945985112767,0.56831687376836,100,0.663695050653928,0.56831687376836,TRUE,"singing_block1",10,0,NA,NA,56.702239361694,"high","high",9,2.285714,1,41,"female",0,-1.45439697168155,0.663695050653928,0.56831687376836,"middle"
"111b2",1720,5,"custom_trial",1108,"185b2","high",0,63.2057608379663,72.3014343108024,61.9966758381352,2,-10.3047584726672,72.0335108455853,61.8678255337351,2,-10.1656853118502,8.82775000761895,-1.3379353042312,TRUE,"2,2,-0.26792346521718,-0.12885030440011,-0.198386884808645,0.26792346521718,0.210220579580096,0.13907316081707,0.13907316081707,0.13907316081707,0.13907316081707,100",0.26792346521718,0.13907316081707,100,0.210220579580096,0.13907316081707,TRUE,"singing_block1",11,1,NA,NA,61.7542453405104,"high","high",10,2.428571,4.428571,59,"female",6,-10.1656853118502,0.210220579580096,0.13907316081707,"middle"
"203b2",3948,9,"custom_trial",2834,"84b2","high",0,58.840375956766,52.881652569629,62.5737195844019,2,9.69206701477287,52.6819660084872,62.7411850492702,2,10.059219040783,-6.15840994827879,3.90080909250419,TRUE,"2,2,-0.199686561141796,0.167465464868307,-0.0161105481367443,0.199686561141796,0.184281584299944,0.367152026010103,0.367152026010103,0.367152026010103,0.367152026010103,100",0.199686561141796,0.367152026010103,100,0.184281584299944,0.367152026010103,TRUE,"singing_block1",12,2,NA,NA,55.3918087015874,"high","high",9,4.571429,2,45,"male",2,10.059219040783,0.184281584299944,0.367152026010103,"last3"
"107b2",1724,4,"custom_trial",1131,"58b2","high",0,60.9641328085531,56.589773974764,64.5239710808668,2,7.93419710610279,56.1364882871287,63.8250269732143,2,7.68853868608562,-4.82764452142436,2.86089416466126,TRUE,"2,2,-0.453285687635343,-0.698944107652508,-0.576114897643926,0.698944107652508,0.589063146121537,-0.245658420017165,-0.245658420017165,0.245658420017165,0.245658420017165,100",0.698944107652508,0.245658420017165,100,0.589063146121537,0.245658420017165,TRUE,"singing_block1",11,1,NA,NA,57.7647557498899,"high","high",8,4,4.142857,30,"nonbinary",5,7.68853868608562,0.589063146121537,0.245658420017165,"middle"
"117b2",1732,3,"custom_trial",1045,"157b2","high",0,59.5455417194128,58.5375013246612,66.7179999653532,2,8.18049864069201,56.9265194548421,66.7017248021816,2,9.77520534733947,-2.61902226457065,7.15618308276882,TRUE,"2,2,-1.61098186981913,-0.0162751631716702,-0.813628516495402,1.61098186981913,1.13919433500659,1.59470670664746,1.59470670664746,1.59470670664746,1.59470670664746,100",1.61098186981913,1.59470670664746,100,1.13919433500659,1.59470670664746,TRUE,"singing_block1",10,0,NA,NA,56.702239361694,"high","high",9,2.285714,1,41,"female",0,9.77520534733947,1.13919433500659,1.59470670664746,"first3"
"107b2",1735,7,"custom_trial",1036,"78b2","high",0,60.0772651774564,61.5919925215478,59.9668512629742,2,-1.62514125857365,60.5389191524253,59.856210290434,2,-0.682708861991252,0.461653974968854,-0.221054887022397,TRUE,"2,2,-1.05307336912254,-0.110640972540139,-0.581857170831338,1.05307336912254,0.74873391320272,0.942432396582397,0.942432396582397,0.942432396582397,0.942432396582397,100",1.05307336912254,0.942432396582397,100,0.74873391320272,0.942432396582397,TRUE,"singing_block1",10,0,NA,NA,57.7647557498899,"high","high",8,4,4.142857,30,"nonbinary",5,-0.682708861991252,0.74873391320272,0.942432396582397,"middle"
"121b2",1945,3,"custom_trial",1252,"16b2","low",0,59.9358481561027,59.8186237714663,55.0845433713562,2,-4.73408040011009,60.6133752300039,55.4082594476169,2,-5.20511578238694,0.677527073901125,-4.52758870848582,TRUE,"2,2,0.794751458537576,0.32371607626073,0.559233767399153,0.794751458537576,0.606803913499759,-0.471035382276845,-0.471035382276845,0.471035382276845,0.471035382276845,100",0.794751458537576,0.471035382276845,100,0.606803913499759,0.471035382276845,TRUE,"singing_block1",11,1,NA,NA,49.4579612231358,"low","low",8,4.285714,2,38,"male",1,-5.20511578238694,0.606803913499759,0.471035382276845,"first3"
"111b2",1727,3,"custom_trial",1114,"155b2","high",0,58.6785017148578,56.7926537214317,64.5529163055252,2,7.76026258409349,56.9286626536003,64.5303830046759,2,7.60172035107563,-1.74983906125747,5.85188128981816,TRUE,"2,2,0.136008932168572,-0.0225333008492896,0.0567378156596412,0.136008932168572,0.0974837916702049,-0.158542233017862,-0.158542233017862,0.158542233017862,0.158542233017862,100",0.136008932168572,0.158542233017862,100,0.0974837916702049,0.158542233017862,TRUE,"singing_block1",11,1,NA,NA,61.7542453405104,"high","high",10,2.428571,4.428571,59,"female",6,7.60172035107563,0.0974837916702049,0.158542233017862,"first3"
"128b2",1977,5,"custom_trial",1306,"22b2","low",0,58.5753116131509,57.3206513063264,52.055050738224,2,-5.26560056810239,56.7432574908597,51.8274554372049,2,-4.9158020536548,-1.83205412229118,-6.74785617594598,TRUE,"2,2,-0.57739381546665,-0.227595301019058,-0.402494558242854,0.57739381546665,0.438852617164972,0.349798514447592,0.349798514447592,0.349798514447592,0.349798514447592,100",0.57739381546665,0.349798514447592,100,0.438852617164972,0.349798514447592,TRUE,"singing_block1",11,1,NA,NA,49.3605355575247,"low","low",9,4.714286,3.571429,62,"male",2,-4.9158020536548,0.438852617164972,0.349798514447592,"middle"
