NaN,-13.83,-12.41,-10.55,-9.69,NaN,-7.78,-6.49,-5.53,-4.43,-3.28,-1.73,0.0799999999999983,2.58,NaN,5.08,6.63,7.19
NaN,-13.72,-12.55,-10.63,-9.66,NaN,-7.67,-6.49,-5.68,-4.57,-3.34,-1.82,0.0799999999999983,2.72,4.23,5.08,6.62,NaN
NaN,-13.45,-12.49,NaN,-9.35,-8.68,-7.82,NaN,-5.5,NaN,-3.26,-1.9,-0.0399999999999991,2.24,NaN,4.79,NaN,7.28
NaN,NaN,-12.38,-10.73,-9.4,NaN,-7.78,-6.77,-5.72,NaN,-3.34,-1.76,0.0700000000000003,2.69,4.25,4.95,NaN,NaN
-19.8,-13.66,-12.46,NaN,-9.73,-8.56,-7.66,-6.58,-5.65,-4.52,-3.4,-1.96,0.280000000000001,2.2,4.39,NaN,NaN,7.27
-19.8,-13.91,-12.46,NaN,-9.56,-8.5,-7.74,-6.52,-5.17,NaN,-3.34,-1.92,0.0399999999999991,NaN,NaN,4.99,6.7,7.27
-19.8,-13.91,-12.53,-10.73,NaN,-8.83,-7.75,-6.43,-5.54,-4.54,-3.16,-2.03,0.280000000000001,2.97,3.92,5.11,6.64,7.26
-19.8,-13.91,-12.63,-10.55,-9.58,-8.7,-7.94,NaN,-5.67,-4.45,-3.31,-1.97,0.370000000000001,2.64,4.42,5.23,6.62,NaN
-19.8,-13.46,-12.53,-10.67,-9.48,-8.71,-7.79,-6.78,-5.09,NaN,-3.15,-2.02,-0.25,2.66,4.09,5,6.62,NaN
NaN,NaN,-12.62,NaN,-9.51,NaN,-7.76,-6.33,-5.12,-4.5,-3.31,-1.94,0.18,2.15,NaN,4.92,NaN,7.28
NaN,-13.9,-12.56,-10.63,-9.61,NaN,-7.95,-6.54,-5.53,-4.31,-3.4,-1.79,0.109999999999999,2.39,NaN,4.8,6.7,7.27
-19.8,NaN,NaN,-10.63,-9.3,NaN,-7.85,-6.51,-5.41,-4.49,-3.18,-1.9,0.18,2.7,4.22,5.47,6.62,NaN
NaN,NaN,-12.83,-10.64,-9.26,NaN,-7.83,-6.71,-5.59,-4.45,-3.05,-1.91,-0.00999999999999801,2.21,NaN,4.76,NaN,7.28
-19.8,-13.91,-12.49,-10.69,-9.57,NaN,-7.72,-6.33,-5.58,NaN,-3.34,-1.97,0.329999999999998,2.12,NaN,4.83,6.64,7.26
NaN,-13.54,-12.65,-10.67,-9.69,NaN,-7.76,-6.33,-5.57,-4.54,-3.06,-1.84,0.199999999999999,2.72,NaN,4.78,6.62,NaN
NaN,NaN,-12.42,NaN,-9.39,NaN,-7.76,-6.76,-5.61,-4.31,-3.08,-1.97,0.16,2.53,NaN,4.84,NaN,7.28
-19.8,-13.52,-12.53,NaN,NaN,-8.99,-7.74,-6.72,-5.69,-4.66,-3.19,-1.86,0.34,2.75,3.74,4.82,NaN,NaN
-19.8,-13.53,-12.54,-10.59,-9.68,-8.73,-7.84,-6.64,-5.59,-4.45,-3.21,NaN,0.109999999999999,2.61,4.24,5.15,NaN,7.28
-19.8,-13.57,-12.57,NaN,-9.68,NaN,-7.92,-6.19,-5.43,NaN,-3.25,-1.78,0.0199999999999996,2.33,NaN,4.89,6.62,NaN
-19.8,NaN,-12.6,-10.61,-9.54,NaN,-8.09,-6.49,-5.43,-4.45,-3.3,NaN,0.32,2.66,NaN,4.85,NaN,7.28
NaN,-13.54,-12.5,-10.66,-9.53,-8.73,-7.77,-6.49,-5.65,-4.44,-3.19,-1.7,0.210000000000001,2.76,4.29,4.93,NaN,NaN
-19.8,-13.83,-12.99,-11.09,-9.59,-8.42,-7.77,-6.59,-5.59,-4.45,-3.26,-1.51,0.359999999999999,2.72,NaN,5.03,6.63,7.19
-19.8,-13.91,-12.51,-10.57,-9.26,NaN,-7.81,-6.75,-5.58,-4.44,-3.33,-2.03,0.199999999999999,2.22,4.18,5.23,6.62,NaN
NaN,NaN,-12.58,-11.05,-9.58,-8.77,-7.75,-6.72,-5.34,NaN,-3.09,NaN,0.27,2.29,4.17,5.19,NaN,7.28
-19.8,-13.91,-12.44,-10.62,-9.51,-8.75,-7.67,-6.58,-5.36,-4.72,-3.24,-1.81,0.25,2.56,4.07,5.13,6.63,7.19
NaN,-13.55,-12.84,-10.72,-9.62,-8.4,NaN,-6.53,-5.1,NaN,-3.14,-1.93,0.109999999999999,2.75,4.15,5.12,6.64,7.26
-19.8,-13.83,-12.64,NaN,-9.69,-8.8,-7.81,-6.52,-5.3,-4.34,-3.13,NaN,0.300000000000001,2.62,4.14,5.04,6.62,NaN
-19.8,NaN,-12.52,NaN,-9.51,NaN,-7.89,-6.32,-5.24,-4.41,-3.08,-1.82,0.0700000000000003,2.67,4.25,5.24,NaN,NaN
-19.8,NaN,-12.66,-10.5,-9.61,-8.68,-7.98,-6.24,-5.06,NaN,-3.38,-1.91,0.27,2.61,NaN,4.82,NaN,NaN
-19.8,-13.91,-12.53,-10.54,NaN,-8.67,-7.71,-6.77,-5.61,-4.51,-3.09,-1.91,-0.0399999999999991,2.16,4.05,4.85,6.64,7.26
NaN,-13.67,-12.99,NaN,-9.69,-8.97,-7.73,-6.53,-5.59,-4.29,-3.17,-1.93,0.239999999999998,2.69,NaN,4.99,6.64,7.26
-19.8,NaN,-12.58,-10.68,-9.45,NaN,-7.81,-6.41,-5.41,-4.52,-3.4,-1.9,0.239999999999998,2.81,NaN,4.86,NaN,7.28
-19.8,NaN,-12.44,-10.75,NaN,NaN,-7.95,-6.63,-5.17,-4.43,-3.16,-1.73,0.239999999999998,2.62,NaN,4.85,6.64,7.26
