-19.11,NaN,NaN,NaN,-13.58,-12.32,-10.05,-9.06,NaN,-7.51,-6.3,-5.13,NaN,-2.09,-0.949999999999999,0.120000000000001,0.759999999999998,1.88,2.9,4.67,5.87,6.66,7.74,8.95,NaN,11.26,11.96,13.88,15.23,NaN,17.59,18.81
-18.64,-17.27,-15.89,NaN,-13.73,-11.98,-10.28,-9.39,NaN,-7.27,NaN,-5.07,-3.64,-1.81,-0.989999999999998,-0.18,0.919999999999998,NaN,2.58,4.59,5.53,6.56,7.96,8.94,9.88,10.92,12.28,14.07,15.44,16.82,17.58,18.81
-18.64,-17.24,NaN,NaN,-14.13,-12.08,NaN,-9.06,-8.07,-6.94,NaN,-4.96,-3.91,NaN,-1.15,0,0.84,2.03,3.09,4.78,5.78,NaN,7.88,8.64,10.16,11.32,12.31,13.96,15.51,NaN,17.58,18.81
-18.82,NaN,-16.05,-14.86,NaN,-11.96,NaN,-9.14,NaN,-7.48,NaN,-5.1,-4.15,-1.86,-0.91,0.0199999999999996,0.919999999999998,1.99,NaN,4.57,NaN,6.8,NaN,NaN,NaN,11.09,12.33,13.81,15.26,16.48,NaN,18.81
-19.08,-17.23,-16.59,-14.79,-14.18,-11.95,-10.77,-9.47,NaN,-7.25,NaN,-4.85,-4.18,NaN,-0.870000000000001,NaN,1.18,2.46,NaN,4.53,5.83,6.86,7.95,8.64,NaN,11.35,12.36,13.92,15.29,NaN,17.45,18.81
-18.72,-17.37,-15.97,-14.78,-13.95,-12.14,NaN,-9.15,-8.27,-7.25,-6.21,-4.95,-4.14,NaN,-0.899999999999999,0.16,1.25,2.46,2.89,4.57,5.9,6.39,8.3,NaN,9.84,NaN,12.03,13.71,15.1,16.45,NaN,18.81
-19.05,-17.27,-16.27,-14.76,-14.16,-11.87,-10.87,-8.83,NaN,-6.88,NaN,-5.31,-4.16,-2.15,-1.01,0,1.27,NaN,3.13,4.75,5.84,6.95,NaN,8.84,NaN,10.97,11.95,13.89,15.55,16.09,17.54,NaN
-19.09,NaN,-16.23,NaN,-14.13,-11.98,NaN,-9.38,-8.11,-7.26,-6.14,-5.02,-4.25,NaN,-1.05,NaN,0.789999999999999,1.95,NaN,4.62,NaN,6.62,NaN,8.67,NaN,NaN,12.04,13.73,15.17,16.46,17.59,18.8
-19.05,-17.23,-16.29,-14.82,NaN,-12.08,NaN,-9.04,NaN,-7.31,-6.2,-5.42,-4.09,NaN,-0.940000000000001,0.219999999999999,NaN,1.99,3.03,4.79,5.96,6.9,7.85,8.66,NaN,NaN,11.85,13.67,15.43,16.83,NaN,NaN
-19.09,-17.25,-15.91,NaN,-14.25,-11.95,NaN,-9.44,NaN,-7.07,-6.12,-4.99,-4.16,NaN,-0.940000000000001,0.390000000000001,NaN,1.94,2.91,4.78,NaN,6.63,7.94,NaN,NaN,10.76,12.07,13.8,15.29,16.22,17.41,18.81
