NaN,-7.82,-5.91,NaN,-3.5,-2.65,NaN,-0.349999999999998,NaN,2.54,4.1,NaN,7.25,8.11,8.86,10.69
NaN,-7.84,-6.22,-5.14,-3.84,-2.93,-0.870000000000001,0.0599999999999987,NaN,2.57,NaN,NaN,7.18,NaN,8.85,10.69
-11.79,-7.65,-6.27,-4.85,NaN,-3.03,-1.02,NaN,NaN,2.48,3.81,5.19,7.17,8.24,9,NaN
NaN,-7.53,-6.31,NaN,NaN,-3.03,NaN,-0.0999999999999979,NaN,2.48,4.02,5.07,6.94,8,NaN,NaN
-11.79,-7.54,-6.29,-5.19,-3.78,NaN,-0.849999999999998,-0.18,NaN,2.5,3.95,4.9,7.19,NaN,9,10.69
-11.79,NaN,-6.05,-5.1,-3.73,-2.91,-0.899999999999999,0.0899999999999999,NaN,2.53,3.96,4.96,7.01,7.98,8.97,10.69
-11.79,NaN,-5.83,NaN,-3.54,NaN,-0.960000000000001,-0.289999999999999,NaN,2.52,3.98,5.08,7.18,8.15,NaN,NaN
-11.79,-7.71,-6.62,-5.26,NaN,-2.95,-0.66,-0.0599999999999987,0.91,2.46,3.91,4.96,7.2,7.99,8.88,10.69
NaN,NaN,-6.28,-5.3,-3.76,-2.99,-0.91,-0.0700000000000003,NaN,2.48,3.85,5.44,6.87,7.93,NaN,NaN
NaN,-7.55,-6.52,NaN,NaN,NaN,-0.719999999999999,NaN,NaN,2.52,3.99,NaN,6.63,8.22,NaN,10.69
-11.79,-7.47,-5.71,-5.3,-3.7,NaN,-1.07,NaN,NaN,2.4,NaN,5.46,7.11,8.29,8.98,10.69
NaN,-7.96,-6.11,-5.13,-4.11,-2.92,-0.849999999999998,-0.379999999999999,NaN,2.41,NaN,NaN,7.01,7.94,8.94,10.69
-11.79,-7.76,-6.2,-5.16,-3.96,-2.92,-0.690000000000001,NaN,NaN,2.24,NaN,5.12,7.03,8.16,NaN,10.69
-11.79,NaN,-6.21,-5.19,NaN,-2.82,-0.899999999999999,-0.27,NaN,2.48,NaN,NaN,7.05,7.98,NaN,10.69
-11.79,-7.78,NaN,-4.76,-3.74,-2.53,-0.82,NaN,NaN,2.51,4.06,4.96,6.99,8.15,NaN,10.69
-11.79,-7.61,-6.08,-5.15,NaN,-2.9,NaN,-0.34,NaN,2.62,3.78,NaN,7.18,7.95,8.92,NaN
-11.79,-7.65,-5.99,-5.18,NaN,-2.53,NaN,-0.210000000000001,NaN,2.45,NaN,NaN,NaN,8.13,NaN,NaN
NaN,-7.71,-6.02,NaN,-3.66,-3.02,-1.04,NaN,NaN,2.19,4.01,4.86,7.08,8.19,NaN,NaN
NaN,NaN,-6.2,-5.17,NaN,-3.02,NaN,-0.16,NaN,2.41,NaN,5,6.75,8.06,NaN,10.69
NaN,-7.61,-5.81,-4.72,NaN,-3.03,-0.800000000000001,-0.210000000000001,NaN,2.4,3.71,5.21,6.98,8.25,8.98,10.69
-11.79,-7.62,-5.98,NaN,NaN,-3.04,-0.84,NaN,NaN,2.46,3.52,NaN,6.64,8.15,NaN,10.69
NaN,-7.63,-6.38,-5.18,-3.7,-3.03,-0.879999999999999,NaN,NaN,2.43,3.84,NaN,7.03,8.02,NaN,NaN
-11.79,-7.98,-6.17,-5.13,-3.67,-2.97,NaN,-0.370000000000001,NaN,2.39,4.12,NaN,7.09,7.89,8.56,NaN
NaN,NaN,-5.71,-5.15,-3.72,-2.88,NaN,-0.349999999999998,NaN,2.49,3.76,4.96,7.08,8.05,NaN,NaN
-11.79,-7.75,-5.94,NaN,-3.87,NaN,-0.68,-0.0300000000000011,1.04,2.51,3.77,5,7.25,NaN,8.52,10.69
-11.79,-7.85,-5.93,-5.07,-3.61,NaN,-0.849999999999998,-0.120000000000001,NaN,2.5,3.89,NaN,NaN,7.93,NaN,NaN
NaN,NaN,NaN,-5.11,-3.71,-2.77,NaN,NaN,NaN,2.51,NaN,5.33,7.09,7.96,8.98,NaN
NaN,-7.81,-6.24,NaN,-4.23,-2.65,-0.759999999999998,NaN,NaN,2.41,4.03,5.23,7.21,NaN,8.95,10.69
-11.79,NaN,-6.05,NaN,-4.03,-3.02,-0.640000000000001,-0.0700000000000003,NaN,2.46,NaN,4.74,6.77,8.02,NaN,10.69
NaN,-8.16,-6.06,NaN,-3.71,-2.95,-0.77,NaN,NaN,2.52,3.95,5.1,6.96,NaN,8.62,NaN
NaN,-7.79,-5.98,NaN,-3.78,-2.98,-0.940000000000001,-0.25,NaN,2.2,3.73,NaN,7.07,NaN,8.9,NaN
-11.79,-7.6,-6.27,-5.3,-4.24,-2.76,-0.93,-0.140000000000001,NaN,2.45,NaN,4.82,7.17,8,8.8,NaN
NaN,NaN,-6.31,-5.17,-3.77,-3.05,-1.02,0.0700000000000003,NaN,2.45,3.77,NaN,7.06,7.87,8.79,NaN
-11.79,-7.71,-6.3,-5.2,NaN,-2.77,NaN,-0.349999999999998,NaN,2.37,3.57,NaN,7.14,8.08,9.05,NaN
-11.79,-8.05,-5.94,-5.09,-3.69,-2.67,NaN,-0.239999999999998,NaN,2.49,3.98,NaN,7.15,NaN,8.85,10.69
NaN,NaN,-6.4,-5.05,NaN,-2.85,NaN,-0.0199999999999996,NaN,2.51,3.87,NaN,NaN,8.09,8.87,NaN
NaN,-7.62,-6.49,NaN,-3.89,-3.16,-1.07,0.0300000000000011,NaN,2.61,3.85,5.35,6.8,7.99,8.98,10.69
-11.79,-7.52,-5.96,NaN,NaN,-3.1,NaN,-0.309999999999999,NaN,2.52,3.96,4.98,6.98,8.06,NaN,NaN
-11.79,-7.41,-5.77,-4.76,NaN,-2.95,-0.960000000000001,0.0999999999999979,NaN,2.57,3.84,NaN,7.04,8.11,8.97,10.69
-11.79,-7.75,-6.17,-5.01,-3.88,-2.85,NaN,-0.440000000000001,NaN,2.53,3.83,NaN,7.09,8.16,8.95,10.69
-11.79,NaN,-6.22,-5.19,-3.81,-2.45,NaN,-0.300000000000001,NaN,2.43,3.91,5.46,6.77,NaN,9.03,NaN
-11.79,-7.76,-6.16,-5.1,NaN,-2.72,NaN,-0.349999999999998,NaN,2.71,4.01,5.41,6.86,8.2,NaN,10.69
-11.79,NaN,-6.03,-4.75,-3.78,-2.95,-0.77,NaN,NaN,2.27,3.94,5.03,7.09,8.14,NaN,10.69
-11.79,-7.65,-6.62,-5.18,-3.84,-3.03,-0.940000000000001,-0.210000000000001,NaN,2.57,NaN,4.89,7.19,8.08,NaN,NaN
-11.79,-7.43,NaN,-5.25,-3.77,NaN,NaN,-0.0500000000000007,NaN,2.56,NaN,NaN,6.87,8.25,NaN,10.69
NaN,-7.91,-5.94,-5.2,NaN,-2.99,-1.05,-0.289999999999999,NaN,2.55,3.43,NaN,7.03,8.05,NaN,NaN
NaN,-7.83,-6.31,-4.96,-3.94,-3.01,NaN,-0.0300000000000011,NaN,2.5,3.94,NaN,NaN,8.07,8.87,10.69
-11.79,-7.66,-6.32,NaN,NaN,-3.09,NaN,-0.25,NaN,2.2,3.92,NaN,6.86,8.01,8.91,10.69
-11.79,-7.43,-5.77,-5.13,-3.85,-2.82,NaN,-0.509999999999998,NaN,2.62,3.84,5.13,6.82,NaN,8.6,10.69
NaN,-7.48,-6.37,-5.2,-3.81,NaN,-0.789999999999999,-0.259999999999998,NaN,1.99,3.91,NaN,6.98,8.06,8.98,NaN
-11.79,NaN,-6.12,-5.09,-3.75,-3.05,NaN,-0.140000000000001,NaN,2.48,3.84,NaN,6.94,7.97,9,NaN
NaN,-8.11,-6.26,-4.88,-3.78,-2.99,NaN,-0.370000000000001,0.919999999999998,2.34,3.44,5.15,6.79,NaN,8.9,10.69
-11.79,-7.61,-5.87,-5.02,-3.79,-2.98,-0.98,NaN,NaN,2.48,NaN,5.07,7.17,8.21,8.94,10.69
-11.79,-7.68,-6.29,NaN,NaN,-3.09,NaN,-0.359999999999999,NaN,2.49,4.02,5.05,7.14,8.22,NaN,10.69
-11.79,-7.46,-6.53,-5.21,-3.71,-2.81,NaN,-0.300000000000001,NaN,2.56,NaN,5.3,7.01,7.99,8.75,NaN
NaN,-7.72,-5.94,NaN,-3.74,-3.09,-0.789999999999999,-0.210000000000001,NaN,2.57,4,4.9,7.16,8.42,NaN,10.69
NaN,NaN,NaN,-5.18,NaN,-3.08,-0.969999999999999,-0.210000000000001,NaN,2.58,3.97,5.01,7.12,7.92,8.9,10.69
NaN,-7.97,-6.04,-5.06,-3.73,-2.5,NaN,-0.34,NaN,2.51,NaN,5.4,7.06,NaN,8.9,10.69
