-12.79,-11.62,-10.31,-8.95,-6.61,-5.67,-4.92,-3.52,-1.92,-1.2,-0.169999999999998,NaN,NaN,3.31,4.35,5.47,6.69,8.09,9.42,10.83,11.47,12.63,14.91
-12.79,-11.62,-10.19,-8.49,-6.76,-5.63,-4.73,-3.36,NaN,-1.46,NaN,1.24,2.14,3.4,4.22,5.5,7.01,8.14,9.6,NaN,11.78,NaN,14.45
-12.79,-11.62,-10.17,-8.74,-6.49,NaN,-4.73,-3.37,-1.76,NaN,NaN,NaN,2.16,NaN,3.95,5.46,6.9,8.08,9.51,10.92,11.97,12.74,14.66
NaN,NaN,-10.49,-8.38,-6.58,NaN,-4.87,-3.27,NaN,-1.21,-0.23,NaN,2.06,NaN,4.15,5.39,6.88,7.87,9.54,11.17,11.98,NaN,14.67
NaN,NaN,-10.21,-8.51,-6.5,NaN,-4.94,-3.56,-1.93,-1,NaN,1.03,NaN,NaN,4.14,5.51,6.73,8.17,9.6,10.75,11.83,NaN,14.66
-12.79,-11.62,-10.31,NaN,-6.63,NaN,-4.68,-3.18,-1.8,-1.15,NaN,1.14,2.15,NaN,4.39,5.54,6.67,8.01,NaN,NaN,11.55,NaN,14.69
NaN,NaN,NaN,-8.4,-6.72,-5.56,-4.96,-3.5,NaN,-1.13,NaN,1.17,NaN,NaN,4.08,5.43,6.54,8.14,10.13,11.01,NaN,12.73,14.41
-12.79,-11.62,-10.07,NaN,-6.66,-5.75,-4.92,-3.34,NaN,-1.26,NaN,NaN,NaN,NaN,4.16,5.51,6.75,8.02,NaN,10.96,11.42,NaN,14.3
NaN,NaN,-10.13,-8.47,-6.64,-5.75,-4.51,-3.42,-1.94,NaN,-0.18,NaN,NaN,3.37,4.17,5.65,NaN,7.68,9.52,10.9,11.94,NaN,14.54
-12.79,-11.62,NaN,-8.24,-6.65,NaN,-4.73,-3.14,-2.01,-0.890000000000001,NaN,1.12,NaN,3.16,4.17,5.62,6.68,8.13,9.83,NaN,11.68,NaN,14.29
-12.79,-11.62,-10.21,-8.68,-6.6,-5.63,-4.56,-3.39,NaN,-1.32,NaN,NaN,NaN,3.35,4.26,5.52,6.77,8.1,NaN,NaN,11.53,12.7,14.24
NaN,NaN,-10.49,-8.68,-6.9,-5.8,-4.79,-3.18,-1.98,-1,NaN,NaN,2,NaN,4.17,5.65,7.04,7.85,NaN,10.72,11.93,12.85,14.64
NaN,NaN,-10.22,-8.69,-7.03,NaN,NaN,-3.53,NaN,-1.43,NaN,1.57,NaN,2.89,4.32,5.58,6.77,7.89,NaN,NaN,11.36,12.41,14.8
NaN,NaN,-10.14,-8.69,-6.62,-5.78,-4.83,-3.25,NaN,-1.42,NaN,1.06,NaN,NaN,4.1,5.28,6.77,8.08,9.58,NaN,11.46,12.52,14.75
NaN,NaN,-10.13,-8.78,-6.73,NaN,-5,-3.41,-1.77,NaN,NaN,1.32,2.31,3.45,4.24,5.6,6.79,8.13,9.66,10.79,11.43,12.38,14.66
-12.79,-11.62,-10.14,NaN,-7.11,NaN,-5.03,-3.25,NaN,-1.18,0.0700000000000003,NaN,NaN,3.01,4.33,5.54,6.73,8.15,NaN,NaN,11.91,NaN,14.6
NaN,NaN,-10.26,NaN,NaN,-5.83,-4.66,-3.31,-1.79,NaN,-0.460000000000001,1,NaN,3.6,4.23,5.54,6.7,8.14,NaN,10.77,11.75,12.63,14.22
NaN,NaN,-10.19,NaN,-6.96,-5.39,NaN,-3.37,-1.87,-1.32,NaN,NaN,2.18,3.32,4.22,5.45,6.89,7.91,9.48,10.79,11.49,12.65,15
-12.79,-11.62,-10.12,NaN,-6.58,NaN,-4.82,-3.54,-2.12,-1.09,NaN,NaN,NaN,3.33,4.21,5.54,6.87,7.98,9.56,NaN,11.43,12.68,14.64
-12.79,-11.62,-10.11,NaN,NaN,-5.42,NaN,-3.19,NaN,-1.2,NaN,1.06,NaN,NaN,4.21,5.61,6.66,7.9,9.74,10.98,NaN,12.59,14.88
-12.79,-11.62,-10.26,-8.71,-6.69,-5.61,-4.73,-3.53,NaN,-1.32,NaN,1.36,NaN,3.4,4.18,5.67,6.64,8.14,9.29,NaN,11.65,12.68,14.74
-12.79,-11.62,-10.13,NaN,-6.57,-5.89,-4.81,-3.32,-2.02,-1.03,NaN,NaN,NaN,3.19,4.28,5.55,6.8,8.03,NaN,NaN,11.94,NaN,14.24
NaN,NaN,-10.21,-8.41,NaN,-5.71,-4.77,-3.31,NaN,-1.33,NaN,1.54,NaN,3.16,4.23,5.54,6.73,8.2,9.54,10.65,11.73,NaN,14.24
-12.79,-11.62,-10.11,NaN,-6.66,-5.79,-4.78,-3.3,NaN,-1.26,-0.259999999999998,1.08,NaN,2.98,4.19,5.54,6.94,8.06,9.86,10.93,11.48,NaN,14.24
-12.79,-11.62,-10.26,-8.58,-6.75,-5.56,-4.82,-3.15,-1.93,NaN,NaN,1.22,NaN,3.52,4.14,5.58,6.71,8.23,9.61,11,11.7,12.53,14.75
-12.79,-11.62,-10.16,-8.51,NaN,-5.26,NaN,-3.57,NaN,-1.21,NaN,1.28,2.1,NaN,4.35,5.45,6.9,8.01,9.83,NaN,11.41,12.35,14.92
-12.79,-11.62,-10.42,-8.85,-6.63,-5.74,-4.65,-3.16,NaN,-1.26,NaN,0.940000000000001,NaN,3.36,4.21,5.42,6.56,8.03,9.36,NaN,11.49,NaN,14.6
NaN,NaN,-10.23,-8.36,-6.61,-5.7,-4.77,-3.27,NaN,-1.25,NaN,NaN,NaN,3.52,4.28,5.5,6.72,8.02,9.45,10.77,11.94,NaN,14.65
-12.79,-11.62,-10.25,-8.48,-7,-5.39,-4.74,-3.18,NaN,-1.18,NaN,NaN,NaN,NaN,4.2,5.57,6.74,7.89,9.6,NaN,11.51,12.62,14.78
-12.79,-11.62,-10.31,-8.71,-6.97,-5.22,-4.83,-3.14,-1.91,-1.08,NaN,0.91,2.1,3.09,4.22,5.6,6.8,8,9.79,NaN,11.58,12.6,14.71
-12.79,-11.62,-10.14,-8.6,-6.71,NaN,-4.68,NaN,-1.83,-1.15,NaN,1.52,NaN,NaN,4.23,5.42,6.71,8.11,NaN,10.82,11.77,12.83,14.63
-12.79,-11.62,-10.25,-8.59,NaN,-5.5,-4.72,-3.46,NaN,-1.18,NaN,NaN,NaN,NaN,4.14,5.43,6.85,8.12,9.48,10.91,11.9,NaN,14.49
-12.79,-11.62,-10.16,NaN,-6.55,NaN,-4.7,-3.12,NaN,-1.17,NaN,0.969999999999999,NaN,3.55,4.24,5.51,6.6,8.01,NaN,NaN,11.49,NaN,14.22
-12.79,-11.62,-10.17,-8.64,-6.85,-5.75,-4.81,-3.49,-1.96,-1.23,-0.27,1.38,NaN,3.01,4.24,5.52,6.67,7.96,9.23,10.81,11.63,NaN,14.33
NaN,NaN,-10.25,-8.7,-6.56,-5.49,-4.73,-3.18,-1.87,-1.26,-0.309999999999999,1.2,NaN,NaN,4.21,5.51,6.82,8.14,NaN,NaN,11.88,NaN,14.83
-12.79,-11.62,-10.43,NaN,NaN,-5.56,-4.69,-3.38,NaN,-1.23,NaN,1.33,2.12,NaN,4.23,5.47,6.76,8.02,9.28,NaN,11.81,NaN,14.71
NaN,NaN,-10.1,-8.78,NaN,-5.79,-4.51,-3.4,NaN,-1.15,NaN,1.14,NaN,3.47,4.16,5.4,6.96,8.11,NaN,10.98,11.4,NaN,14.8
-12.79,-11.62,-10.15,-8.83,NaN,-5.33,-4.61,-3.31,-1.98,-1.35,-0.34,1.11,NaN,3.47,4.11,5.5,6.84,8.25,NaN,NaN,11.71,12.7,14.22
-12.79,-11.62,-10.14,NaN,NaN,-5.73,-4.61,-3.22,NaN,-1.39,NaN,0.91,2.22,3.36,4.19,5.55,6.74,8.11,10.07,11.03,NaN,12.42,14.26
-12.79,-11.62,-10.11,-8.51,-6.95,-5.71,-4.96,-3.49,-1.97,-0.739999999999998,NaN,0.949999999999999,NaN,NaN,4.07,5.57,6.82,7.8,10.13,10.92,11.97,NaN,14.58
-12.79,-11.62,-10.17,-8.7,NaN,-5.72,-4.62,-3.16,NaN,-1.1,NaN,0.960000000000001,2.06,3.35,4.09,5.6,6.76,8.11,9.74,NaN,11.56,12.65,14.6
-12.79,-11.62,-10.14,-9.15,NaN,-5.75,-4.72,-3.38,NaN,-1.22,NaN,0.940000000000001,NaN,3.23,4.24,5.48,6.66,8.07,NaN,NaN,11.63,NaN,14.32
NaN,NaN,-10.12,-8.26,-7.14,-5.79,-4.95,-3.47,NaN,-1.31,NaN,NaN,NaN,3.31,4.16,5.62,6.77,8.03,9.52,NaN,11.52,NaN,14.6
NaN,NaN,-10.21,-8.87,NaN,NaN,-4.79,-3.62,-1.86,NaN,NaN,0.98,NaN,3.4,NaN,5.28,6.79,8.13,NaN,10.68,11.91,12.74,14.58
