NaN,NaN,-8.43,-6.78,-6.12,-5.34,-4.37,NaN,NaN,NaN,-0.169999999999998,1.53,2.39,3.48,5.02,6.44,7.43,9.78,11.11,11.91,18.97
-11.54,-9.09,-7.79,NaN,-6.2,-5.3,-4.29,NaN,-2.85,NaN,0.109999999999999,NaN,2.4,3.82,5.11,7.18,NaN,9.92,NaN,12.4,18.97
-11.54,NaN,-7.81,-6.7,-5.98,-5.26,-4.33,-3.52,NaN,NaN,0.0899999999999999,NaN,2.44,3.61,5.2,6.79,7.88,9.88,11.43,12.17,18.97
-11.54,-9.08,NaN,-6.82,NaN,-5.02,-4.35,-3.38,NaN,NaN,0,NaN,2.28,3.82,5.14,6.61,8.13,9.63,11.03,12.4,18.97
-11.54,-9.09,-7.87,-6.78,NaN,-5.26,-4.38,-3.37,-2.45,NaN,-0.0599999999999987,1.43,2.34,3.02,5.22,6.86,7.84,9.91,11.03,12.4,18.97
NaN,NaN,-7.9,NaN,-6.04,-5.37,-4.35,-3.28,NaN,NaN,-0.0599999999999987,NaN,2.28,3.18,5.2,6.73,8.12,9.52,11.11,11.91,NaN
NaN,-9.09,-7.96,NaN,-6.05,-5.42,-4.34,-3.39,NaN,NaN,-0.00999999999999801,NaN,NaN,3.15,4.87,6.49,NaN,10.05,11.03,12.4,18.97
NaN,NaN,-7.86,-6.72,NaN,-5.35,-4.31,-3.5,NaN,NaN,-0.0899999999999999,1.56,2.39,3.17,5.1,6.69,7.98,9.58,NaN,12.4,18.97
NaN,NaN,-8.39,NaN,-6.03,-5.41,-4.32,-3.46,-2.52,NaN,0.00999999999999801,1.35,2.34,3.01,5.17,6.65,7.93,9.56,11.43,12.3,18.97
NaN,-9.09,-8.12,NaN,-6.15,-5.32,-4.32,NaN,NaN,NaN,-0.0300000000000011,NaN,2.37,3.49,5.22,6.51,7.77,9.39,11.02,12.4,18.97
-11.54,-9.05,-8.37,NaN,-6.17,-5.17,-4.3,NaN,-2.82,NaN,0.0599999999999987,NaN,2.37,3.65,5.15,6.51,7.57,9.9,11.03,12.4,18.97
-11.54,NaN,-8.2,NaN,-6.09,-5.11,-4.3,-3.46,-2.54,NaN,0.0199999999999996,NaN,2.23,3.61,5.21,6.6,7.76,9.33,11.43,12,NaN
NaN,-9.05,-8.11,NaN,-6.12,-5.33,-4.24,-3.38,NaN,NaN,0.0300000000000011,NaN,2.21,3.67,5.12,6.89,8.04,9.89,11.11,11.91,NaN
-11.54,NaN,-8.45,-6.69,-5.98,-5.36,-4.35,-3.45,-2.35,NaN,-0.0599999999999987,1.55,NaN,3.49,5,6.65,7.81,9.87,11.32,12,NaN
-11.54,NaN,-8.04,NaN,-6.04,-5.27,-4.34,-3.38,NaN,-0.969999999999999,0.00999999999999801,NaN,2.43,3.52,5.29,6.48,7.89,10.05,11.32,12,18.97
-11.54,NaN,-8.07,NaN,-6.09,-5.2,-4.36,NaN,NaN,-1.08,0.0899999999999999,NaN,2.5,3.56,5.2,6.54,7.83,9.62,11.43,12,NaN
-11.54,NaN,NaN,NaN,-5.99,-5.38,-4.39,-3.33,NaN,-1.29,-0.0300000000000011,1.51,NaN,3.42,5.08,7.09,NaN,9.51,11.03,12.4,18.97
NaN,-9.08,-7.92,-6.77,NaN,-5.32,-4.41,-3.35,-2.37,NaN,-0.0399999999999991,NaN,2.43,3,5.16,7,7.81,10.02,11.03,12.4,18.97
-11.54,NaN,-7.87,-6.75,NaN,-5.21,-4.24,NaN,NaN,NaN,-0.0599999999999987,NaN,2.38,3.53,5.17,6.82,8.12,9.61,11.43,11.92,18.97
-11.54,NaN,-8.12,NaN,-5.95,-5.31,-4.37,-3.36,-2.55,NaN,-0.0199999999999996,NaN,2.31,3.18,5,6.78,7.84,9.29,11.11,12.33,18.97
NaN,-9.09,-7.96,-6.79,-6.01,-5.43,NaN,-3.47,-2.45,NaN,-0.0700000000000003,NaN,2.3,3.57,5.23,6.85,7.96,10.04,11.11,12.33,18.97
NaN,-9.07,-8.41,-6.82,-6.04,-5.22,-4.31,-3.43,NaN,-0.989999999999998,-0.0399999999999991,NaN,2.45,3.11,5.22,6.56,7.93,NaN,11.03,12.4,NaN
-11.54,-9.08,-8.2,-6.84,NaN,-5.17,-4.35,-3.49,-2.61,NaN,0.00999999999999801,NaN,2.32,3.3,5.48,6.86,7.98,9.87,NaN,12.4,NaN
-11.54,-9.05,-8,-6.69,-6.25,-5.21,-4.33,-3.32,-2.66,NaN,-0.0199999999999996,NaN,2.41,3.04,5.13,6.82,NaN,9.84,11.03,NaN,18.97
-11.54,-9.09,-7.85,-6.77,NaN,-5.29,-4.3,-3.5,NaN,NaN,-0.0799999999999983,1.6,2.35,3.09,5.17,7.13,7.82,NaN,11.11,12.33,18.97
-11.54,NaN,-8.47,NaN,-6.25,-5.06,-4.27,-3.43,NaN,NaN,-0.0599999999999987,NaN,2.38,3.68,4.94,7.05,7.86,9.62,11.11,11.91,18.97
NaN,-9.05,-8.11,-6.7,-6.02,-5.39,-4.31,-3.34,NaN,NaN,-0.0700000000000003,1.47,2.23,3.23,5.28,6.84,7.88,9.85,11.03,12.4,18.97
-11.54,-9.09,-7.79,-6.72,-6.06,-5.35,-4.36,-3.3,NaN,NaN,-0.0599999999999987,NaN,2.42,3.71,5.25,6.46,8.11,9.94,11.03,NaN,18.97
NaN,-9.07,-7.9,-6.77,NaN,-5.35,-4.38,-3.34,-2.49,NaN,0.00999999999999801,1.57,NaN,3.64,5.22,NaN,NaN,9.36,11.43,11.97,18.97
NaN,NaN,-8.41,NaN,-6.02,-5.4,-4.36,-3.23,-2.93,NaN,0,NaN,2.29,3.19,5.13,6.35,7.86,9.94,NaN,12.4,18.97
-11.54,NaN,-8.46,NaN,-6.09,-5.35,-4.33,-3.35,NaN,NaN,-0.0599999999999987,NaN,NaN,3.04,5.17,6.51,7.85,NaN,NaN,12.4,18.97
-11.54,NaN,-7.79,NaN,-6.14,-5.21,-4.29,-3.3,-2.99,NaN,0.0500000000000007,NaN,2.37,3.21,4.98,7.2,NaN,9.71,11.43,11.92,18.97
-11.54,-9.05,-8.2,NaN,-6.06,-5.16,-4.3,-3.37,NaN,NaN,-0.0799999999999983,NaN,NaN,3.55,5.26,6.53,NaN,9.71,11.21,11.92,18.97
-11.54,-9.09,NaN,-6.82,-6.07,-5.14,-4.34,-3.35,NaN,NaN,-0.0399999999999991,NaN,2.27,2.93,5.1,6.8,8,9.51,11.21,11.92,NaN
