-12.73,NaN,-10.69,NaN,-7.17,-5.83,-4.23,NaN,-1.84,0.169999999999998,1.69,2.9,NaN,5.07,7.13,7.94,9.47,11,NaN,14.15
-13.07,-12.32,-10.15,NaN,-6.86,-5.9,NaN,-3.31,-1.88,0.129999999999999,1.97,3.06,3.83,4.75,6.68,8.01,9.28,10.85,11.97,14.08
NaN,-12.41,-10.7,NaN,-6.62,-5.86,-4.17,NaN,-1.95,0.149999999999999,1.62,3.11,3.89,5.03,7,8.24,9.31,10.82,12.01,13.92
-12.97,NaN,-10.24,NaN,-6.59,-5.89,NaN,-3.06,-1.94,0.169999999999998,1.85,3.05,3.86,5.06,6.84,7.87,9.42,NaN,11.98,NaN
-13.05,NaN,NaN,NaN,-6.79,-5.84,-4.18,-2.94,-1.98,-0.00999999999999801,1.97,NaN,3.8,5.26,6.74,8.4,NaN,10.7,11.66,14.15
NaN,-12.54,-10.65,-8.6,-6.65,-5.69,-4.34,NaN,-2.33,0.0700000000000003,1.4,3.08,3.86,4.91,6.67,8.07,NaN,11.05,NaN,14.15
-12.83,-12.16,-10.57,NaN,-6.99,-5.74,NaN,-2.62,-1.99,0.0799999999999983,1.71,3.03,3.96,4.98,7.18,NaN,9.31,10.82,NaN,NaN
-12.95,-12.04,-10.52,NaN,-6.76,-5.64,NaN,-2.8,-1.94,0.199999999999999,1.54,2.96,3.95,4.71,6.65,8.23,9.27,10.78,11.85,13.92
NaN,-12.02,-10.58,NaN,-6.94,-5.69,-4.31,-3.04,-1.91,0.169999999999998,1.26,2.98,3.98,4.91,6.71,8.26,9.27,10.82,NaN,14.03
NaN,-12.22,-10.59,NaN,-6.99,-5.88,-4.2,-3.03,-1.51,0.00999999999999801,NaN,2.95,3.85,4.96,6.67,8.02,9.16,10.84,NaN,13.92
-12.89,-12.09,-10.56,NaN,-6.75,-5.27,NaN,-2.95,-1.83,0.129999999999999,1.87,2.91,3.87,5.08,6.74,8.27,9.22,10.67,11.72,NaN
-13.02,-12.28,-10.74,-8.37,-6.92,-5.78,NaN,-2.65,-1.95,0.120000000000001,1.24,2.97,NaN,5.2,6.84,NaN,NaN,11.02,NaN,14.06
-13.13,-12.29,-10.67,NaN,-6.93,-5.67,-4.29,-2.84,-1.87,-0.0300000000000011,1.61,2.96,NaN,5.24,6.81,8.42,9.2,10.86,11.91,13.99
-12.71,NaN,-10.67,NaN,-6.64,-5.88,-4.26,NaN,-1.89,0.129999999999999,1.8,2.99,3.88,4.77,6.66,8.48,NaN,10.83,11.83,NaN
NaN,NaN,-10.82,NaN,-6.49,-5.85,NaN,-2.87,NaN,-0.16,1.72,2.99,3.81,4.92,NaN,8.16,9.37,11.02,12.06,13.92
-12.82,NaN,-10.76,NaN,-6.85,-5.89,-4.68,NaN,-1.88,0.129999999999999,1.72,NaN,3.88,5.04,6.63,8.09,9.28,11.12,NaN,14.15
-12.93,-12.28,-10.72,NaN,-6.66,-5.66,-4.23,-2.94,-1.76,0.109999999999999,1.46,3.02,3.83,5.1,6.92,NaN,9.21,11,11.48,13.99
NaN,-12.33,-10.71,-8.11,-6.54,-5.76,-4.17,-3.03,-1.89,0.0500000000000007,1.6,2.84,4.07,4.76,6.78,8.07,9.47,10.94,NaN,14.15
NaN,-12.22,-10.59,NaN,-6.74,-5.66,NaN,-2.82,-2.06,0.120000000000001,1.75,3.08,NaN,4.64,6.57,8.32,9.24,10.94,11.88,14.15
-13.05,-12.25,NaN,NaN,NaN,-5.96,-4.34,-2.96,-1.9,0.0500000000000007,1.39,NaN,3.9,5.28,6.76,7.96,NaN,10.82,NaN,13.92
-12.94,-12.23,-10.21,NaN,NaN,-5.26,-4.26,-2.85,-1.8,-0.00999999999999801,1.78,3.07,3.84,5,6.79,NaN,9.33,10.77,11.73,13.92
NaN,-12.61,NaN,NaN,-6.97,-5.79,NaN,-3.42,-1.96,0.0399999999999991,NaN,2.74,NaN,4.95,6.57,8.02,9.43,10.89,11.75,13.92
NaN,-12.48,-10.6,NaN,-6.82,-5.69,-4.23,-3.34,-2.02,-0.18,NaN,2.96,NaN,4.93,6.73,8.22,9.3,10.92,NaN,13.92
