-14.02,-12.21,-10.72,NaN,-8.54,-7.44,-6.73,NaN,-4.72,-3.03,-1.7,0.259999999999998,NaN,2.04,3.09,3.94,5.21,NaN,6.87,NaN,8.9,10.07,10.61,NaN
NaN,-12.18,-10.6,NaN,-8.3,-7.45,-6.75,NaN,-4.96,-3.29,-1.77,NaN,0.829999999999998,2.1,NaN,3.94,4.83,6.05,6.98,7.58,8.64,NaN,10.64,NaN
NaN,NaN,-10.65,-9.48,-8.61,NaN,NaN,-5.82,-4.78,-3.25,-1.71,0.289999999999999,NaN,1.86,NaN,3.91,5,NaN,6.67,NaN,8.28,10.03,NaN,11.9
NaN,-12.26,-10.36,-9.14,NaN,NaN,-6.79,-6.21,-4.96,NaN,-2.06,-0.0700000000000003,1.01,1.79,2.77,4.11,4.86,6.02,6.46,7.43,8.64,9.87,10.61,11.9
-14.02,-12.27,-10.63,-9.5,-8.45,-7.33,NaN,-6.19,-4.79,-3.11,-1.84,0.109999999999999,NaN,1.9,2.84,4.07,5.17,NaN,6.93,7.58,8.43,10.01,NaN,11.9
-14.02,-12.2,-10.7,-9.66,-8.52,NaN,-7.05,-5.74,-4.91,-3.19,-1.76,0.0899999999999999,NaN,1.91,2.98,NaN,5.08,5.95,NaN,7.4,8.6,NaN,10.65,11.9
-14.02,-12.12,-10.66,-9.07,NaN,NaN,-6.79,-6.12,-5.01,NaN,-1.78,0.359999999999999,0.960000000000001,2.14,NaN,3.98,4.93,6.06,NaN,7.57,NaN,9.75,10.63,11.9
-14.02,-12.28,-10.69,-9.11,NaN,-7.64,NaN,NaN,-5,-3.33,-1.77,0.34,0.91,2.08,NaN,3.93,4.9,NaN,6.55,7.64,8.57,NaN,10.65,NaN
-14.02,-12.16,NaN,-8.96,NaN,-7.72,NaN,-6.19,-4.88,-3.09,-2.05,0.199999999999999,0.800000000000001,2.14,2.97,3.95,4.86,NaN,6.73,7.35,NaN,NaN,NaN,11.9
-14.02,-12.18,-10.67,-9.07,NaN,NaN,-6.7,-6.21,-4.91,NaN,-1.76,NaN,1.04,2.06,3.06,NaN,4.87,NaN,6.6,7.45,8.47,9.95,NaN,NaN
-14.02,-12.17,-10.7,-9.67,-8.49,-7.32,-6.59,NaN,-4.85,-2.78,-1.84,NaN,0.949999999999999,2.14,NaN,3.76,4.94,6.11,6.64,7.59,8.97,NaN,NaN,NaN
NaN,-12.24,-10.58,-9.12,-8.51,NaN,-6.95,-6.1,-4.88,-2.92,-1.84,0.0700000000000003,0.919999999999998,2.1,NaN,4.16,NaN,6.08,NaN,7.47,NaN,9.89,10.64,11.9
-14.02,NaN,-10.77,-9.22,NaN,-7.52,NaN,-6.07,-4.72,-3.04,-1.86,NaN,0.93,1.9,2.8,3.83,5,NaN,6.79,NaN,8.55,10.04,NaN,11.9
NaN,-12.27,-10.73,-9.29,-8.2,-7.53,-6.66,NaN,-4.91,-2.79,-2,NaN,0.809999999999999,1.97,NaN,3.92,4.96,6.03,6.66,7.43,8.61,10.07,10.61,NaN
NaN,-12.21,-10.68,NaN,-8.5,-7.5,-6.83,NaN,-5,-3.3,-1.77,NaN,0.73,1.88,2.82,3.96,5.05,5.9,NaN,7.45,8.64,9.77,10.61,11.9
-14.02,-12.18,-10.53,-9.68,-8.36,-7.54,-6.63,-6.16,-4.77,NaN,-2.13,0.259999999999998,0.890000000000001,2.12,NaN,3.99,4.75,6.04,6.57,7.45,NaN,NaN,10.64,11.9
-14.02,-12.1,-10.68,NaN,-8.51,NaN,-6.79,-6.17,-4.81,NaN,-1.76,0.219999999999999,NaN,2.02,NaN,3.93,4.91,5.83,NaN,7.3,8.61,9.87,10.61,11.9
-14.02,-12.28,-11.2,-9.47,NaN,NaN,-6.85,-6.06,-5.01,NaN,-1.65,0.18,1,2.16,NaN,4.17,4.79,6.09,6.82,NaN,8.58,9.8,NaN,11.9
-14.02,-12.18,-10.35,-9.03,NaN,-7.44,-6.74,NaN,-5,-3.02,-1.71,0.140000000000001,NaN,2.1,NaN,3.91,4.9,NaN,6.6,7.28,8.41,9.75,NaN,NaN
-14.02,-12.28,-10.97,-9.04,NaN,NaN,-6.77,-6.17,-4.96,-3.36,-1.81,NaN,0.739999999999998,1.92,2.91,3.92,4.91,NaN,6.79,7.24,8.35,NaN,NaN,11.9
NaN,-12.25,-11.15,-9.42,-8.27,-7.38,-6.66,NaN,-5.03,-3.25,-1.9,NaN,NaN,2.09,2.82,4.33,5.28,6.08,NaN,7.71,8.63,NaN,10.65,11.9
-14.02,-12.28,-11.06,-9.15,NaN,-7.63,-6.7,-6.18,-5.1,-3.19,-1.76,0.169999999999998,1,1.81,2.88,4.2,NaN,5.99,NaN,7.29,NaN,NaN,10.65,11.9
