NaN,-13.8,-12.5,-11.6,-10.1,-8.9,NaN,-7.1,-5.1,-3.2,NaN,-1,0,2.1,3.9,5,7.1,8.2,9.6,10.9,12.2,13.4,NaN,NaN,NaN,NaN
-16.1,-13.7,NaN,-11.4,-10.1,-9.2,-7.9,-7.1,-4.9,-3.4,-2.5,NaN,0.199999999999999,2,3.8,5,7.1,8.4,9.7,10.7,12,NaN,NaN,NaN,NaN,NaN
NaN,-14,NaN,-11.4,-10.3,-9.1,-8.4,-7.2,-5,NaN,-2.5,-1,0.199999999999999,1.9,3.7,5.1,7.2,8.2,9.4,10.6,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.6,-12.7,-11.4,-10.3,-9,NaN,-7.1,-5,-3.3,-2.2,-1.1,0.299999999999997,NaN,3.8,5.2,7.2,8.3,NaN,10.6,12.1,13.1,14.4,NaN,NaN,NaN
NaN,-13.8,NaN,-11.4,-10.2,-9,-8.3,-7.1,-4.9,NaN,-2.5,NaN,NaN,1.8,3.8,5.1,7.2,8.4,9.6,10.6,12.1,13.3,14.3,NaN,NaN,NaN
-16.6,NaN,-12.6,-11.5,-10.5,-9.2,NaN,-7.1,-5,NaN,-2.6,NaN,0,2,3.8,5.2,7.1,8.3,NaN,10.5,12,NaN,NaN,NaN,NaN,NaN
NaN,-14.2,NaN,-11.8,-10.2,-9.1,-8.1,-7.1,-5,NaN,-2.7,-1.1,0.0999999999999979,2.5,3.9,5.2,7.1,8,9.6,NaN,12.2,NaN,14.3,NaN,NaN,NaN
NaN,-13.7,-12.6,-11.6,NaN,-9,-8,-7.1,-5.2,-3.5,-2.3,NaN,NaN,1.9,3.9,5.1,7.1,8.4,9.6,10.7,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-13.7,NaN,-11.5,-10.3,-9.1,-8.1,-7.1,-5.1,-3.4,-2.3,-1,0.199999999999999,1.8,3.9,5.1,7,8.2,9.9,NaN,12,NaN,14.3,NaN,NaN,NaN
NaN,-13.8,NaN,-11.8,-10,-9.1,-8,-7.1,-5.1,-3.6,-2.5,-1.2,0.0999999999999979,1.9,4,5.2,7,8.4,NaN,NaN,12,13.3,14.5,NaN,NaN,NaN
NaN,-14.1,-12.7,-11.7,-10.4,-9.1,-8.1,-7.1,-5,-3.1,NaN,-1.1,NaN,2.2,3.9,5.1,7.2,8.5,9.6,NaN,12.1,13.5,14.3,NaN,NaN,NaN
NaN,-13.9,-12.6,-11.5,-10.2,-9.1,-8.1,-7,-5,NaN,NaN,-1,0.199999999999999,2,3.9,5.1,7.3,NaN,9.8,NaN,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.9,-12.6,-11.7,-10.4,-8.9,-8,-7.1,-5.2,-3.8,-2.6,-1.1,0.0999999999999979,1.9,3.9,5.1,7.2,8.3,10,NaN,12.1,13.3,14.3,NaN,NaN,NaN
NaN,-13.9,-12.6,-11.8,-10,-9.2,-8.2,-7.1,-5.1,-3.4,-2.5,-1,NaN,NaN,3.8,5.1,7.3,8.4,NaN,NaN,12.1,13.3,14.4,NaN,NaN,NaN
