NaN,-7.86,-6.37,-5.47,-4.68,NaN,-3.03,NaN,NaN,0.120000000000001,1.66,3.21,NaN,NaN,NaN,NaN,NaN
-8.66,-7.87,-6.36,-5.48,NaN,-4.2,-3.32,NaN,NaN,0.149999999999999,NaN,3.4,NaN,NaN,7.83,12.23,17.37
-8.67,NaN,-6.36,-5.49,NaN,-4.05,NaN,-2.15,NaN,0.219999999999999,1.73,3.19,4.01,5.82,7.83,12.23,17.37
-8.66,-7.87,-6.37,NaN,NaN,NaN,-3.1,NaN,NaN,0.0999999999999979,1.61,3.18,3.94,5.82,7.83,12.23,17.37
-8.66,-7.87,-6.37,-5.4,-4.69,-3.78,-2.99,NaN,NaN,0,1.69,NaN,NaN,5.82,NaN,12.23,NaN
-8.66,-7.87,NaN,-5.47,-4.56,-4,-3.06,NaN,-1.02,0.109999999999999,1.74,NaN,3.94,5.82,7.83,12.23,17.37
NaN,-7.86,-6.37,-5.5,NaN,NaN,-3.11,NaN,-1.03,0.199999999999999,1.7,NaN,4.01,NaN,7.83,NaN,17.37
-8.66,-7.87,NaN,-5.49,-4.69,NaN,-3.19,NaN,NaN,0.109999999999999,1.76,3.09,4.21,NaN,7.83,12.23,17.37
NaN,-7.86,NaN,-5.42,NaN,-4.19,NaN,NaN,-0.969999999999999,0.109999999999999,1.69,3.03,4.04,5.82,NaN,12.23,NaN
-8.67,-7.9,NaN,-5.47,NaN,-4.26,NaN,NaN,NaN,0.0700000000000003,1.55,2.97,NaN,5.82,7.83,NaN,17.37
NaN,-7.86,-6.37,-5.5,-4.43,NaN,-3.04,NaN,NaN,0.34,1.74,3.18,NaN,5.82,NaN,12.23,NaN
NaN,-7.86,-6.36,-5.48,-4.67,NaN,-3.16,NaN,NaN,-0.0999999999999979,1.7,3.27,NaN,5.82,7.83,12.23,17.37
-8.67,NaN,NaN,-5.5,NaN,-3.86,NaN,NaN,NaN,0.0199999999999996,1.78,NaN,3.86,5.82,NaN,12.23,NaN
NaN,-7.86,NaN,-5.5,NaN,NaN,NaN,NaN,NaN,0.219999999999999,1.71,3.13,NaN,5.82,7.83,12.23,17.37
NaN,NaN,-6.37,-5.42,NaN,-4.18,NaN,NaN,NaN,0.23,1.63,3.22,NaN,5.82,7.83,12.23,17.37
-8.67,NaN,-6.36,-5.48,NaN,-3.88,NaN,NaN,NaN,0.0300000000000011,1.72,3.22,3.91,NaN,7.83,12.23,17.37
-8.66,-7.87,-6.37,-5.49,-4.68,NaN,-3.04,NaN,-0.960000000000001,0.0399999999999991,1.71,NaN,3.93,5.82,NaN,NaN,NaN
-8.66,-7.87,-6.36,-5.53,-4.72,NaN,NaN,-2.22,NaN,0.0399999999999991,1.8,3.29,3.88,5.82,7.83,NaN,17.37
NaN,-7.86,NaN,-5.51,NaN,-3.91,NaN,NaN,-0.91,0.32,1.59,NaN,3.97,5.82,7.83,12.23,17.37
-8.66,-7.87,NaN,-5.43,NaN,-3.95,NaN,-2.23,-0.91,0.199999999999999,1.72,3.23,NaN,NaN,7.83,12.23,17.37
