-12.81,-12.24,-10.61,NaN,-7.3,-5.39,-4.16,-2.79,-1.98,0.00999999999999801,1.8,2.73,3.97,5.18,NaN,8,9.32,11.11,NaN,NaN
-12.99,-12.31,-10.83,NaN,-7.05,-5.65,-3.81,NaN,-1.91,0.0399999999999991,1.79,2.55,NaN,5,NaN,8.06,9.13,11.27,12.46,NaN
-13.04,-12.25,-10.71,-8.05,-7.01,NaN,NaN,-2.74,-2.05,0.0700000000000003,1.74,3.25,4.03,5.36,7.06,8.05,9.27,11.67,NaN,NaN
-12.95,-12.22,-10.6,-8.38,-7.04,-5.69,NaN,-3.06,-1.95,0.120000000000001,1.77,3.13,3.85,5.12,6.78,8.12,9.36,11.7,NaN,NaN
-12.76,NaN,-10.64,-8.42,-6.78,-5.8,-3.93,-2.81,-1.91,0.16,1.66,3.09,NaN,5.2,6.74,8.14,9.23,11.62,12.44,NaN
-12.94,-12.19,-10.71,NaN,-6.83,-5.7,NaN,NaN,-1.79,-0.0199999999999996,1.57,2.47,4.03,5.23,7.02,NaN,9.2,11.38,NaN,13.92
-13.01,-12.17,-10.7,NaN,-7.12,-5.44,-3.91,-2.85,-1.93,0.0399999999999991,1.68,3.11,4.04,5.32,6.86,8,9.05,11.34,12.4,NaN
-13.02,NaN,-10.79,-8.77,-7.11,NaN,NaN,-2.55,-1.81,0.0799999999999983,1.66,3,4.06,5.1,6.81,8.09,9.46,11.7,12.4,13.92
NaN,-12,-10.68,-8.52,-6.97,-5.36,-3.91,NaN,-1.92,0.109999999999999,1.61,3.03,4.05,5.2,6.9,7.95,NaN,11.39,NaN,NaN
-12.94,-12.24,-10.72,-8.2,-7.23,NaN,-3.9,-2.78,-1.99,0.0399999999999991,1.43,2.76,NaN,5.31,7,7.88,9.37,11.1,NaN,NaN
-12.94,NaN,-10.64,-8.71,-6.78,-5.92,NaN,-2.68,-1.88,0.0399999999999991,1.73,2.79,NaN,5.22,7.17,7.85,NaN,11.67,12.4,NaN
-12.75,-12.07,-10.62,NaN,-6.8,-5.56,-4.02,-2.88,-2.03,0.120000000000001,1.67,2.95,NaN,5.39,7.18,7.84,NaN,11.04,12.45,NaN
-12.78,-12.22,-10.69,NaN,-6.75,NaN,-3.93,-2.52,-1.74,0.0500000000000007,1.71,3.04,3.77,5.34,6.66,7.91,9.38,11.62,12.41,NaN
NaN,-12,-10.69,-8.47,-7.07,-5.78,NaN,-3.01,-1.9,-0.16,NaN,2.92,3.97,5.4,NaN,7.99,9.28,11.64,12.42,13.92
-12.76,NaN,-10.74,-8.53,-7.46,-5.41,NaN,-2.65,NaN,0.0999999999999979,1.69,2.96,3.84,5.39,6.71,8.04,9.45,11.76,NaN,13.92
-12.85,NaN,-10.76,-8.43,-7.13,NaN,-4.21,-3.15,-2.06,0.0500000000000007,1.72,2.98,4.04,5.1,6.52,7.91,9.18,11.71,NaN,13.92
-12.94,-12.23,-10.6,NaN,-7,-5.95,-4.07,-2.75,-1.96,0.0899999999999999,NaN,2.53,4,5.15,7.14,NaN,9.34,11.72,NaN,13.92
-12.93,-12.03,-10.64,-8.09,-7.34,NaN,-4.03,NaN,-2.06,0.169999999999998,1.3,2.85,3.99,NaN,6.75,7.54,9.35,11.64,NaN,13.92
-12.87,NaN,-10.61,-8.41,-7.09,-5.77,-3.87,-3.03,-1.86,-0.219999999999999,1.6,NaN,3.96,5.11,6.85,7.92,9.25,11.34,NaN,NaN
-12.82,-12.1,-10.68,NaN,-7.13,-5.84,-4.11,NaN,-1.97,0.140000000000001,1.58,2.88,NaN,5.49,6.93,NaN,9.32,11.6,NaN,13.92
-12.78,-12.23,-10.6,NaN,-6.8,-5.63,-4.32,-3.12,-1.86,0.0500000000000007,1.66,2.97,NaN,5.25,6.56,8.14,9.24,11.32,12.4,13.92
-12.76,NaN,-10.61,-8.46,-6.62,NaN,NaN,-2.73,-1.8,0.0999999999999979,1.77,3.02,3.95,5.19,6.62,NaN,9.15,11.68,NaN,NaN
-12.93,NaN,-10.65,NaN,-7.15,NaN,-3.69,NaN,-1.84,0.0500000000000007,NaN,2.76,3.9,5.31,NaN,7.97,9.24,11.22,NaN,13.92
-12.82,-12.3,-10.72,-8.56,-7.04,-6.12,-3.59,NaN,-1.43,0.0399999999999991,1.69,2.73,3.98,5.34,7,NaN,9.21,11.71,12.4,13.92
-12.94,-12.23,-10.65,NaN,-6.75,NaN,-4.03,-2.77,-1.88,0.0700000000000003,1.41,2.85,NaN,5.02,6.59,8.17,9.32,11.17,12.42,13.92
-13,NaN,-10.71,-8.55,-7.16,-5.25,-3.94,-2.94,-1.92,0.0899999999999999,NaN,2.85,3.9,5.44,6.64,8.16,9.28,11.69,12.4,13.92
-12.95,-12.17,-10.74,-8.34,-7.35,-5.28,-3.8,-2.47,-1.52,0.129999999999999,1.73,2.87,NaN,5.28,6.68,8.03,9.29,11.33,12.41,13.92
-12.84,NaN,-10.69,NaN,-6.69,-5.21,-3.65,NaN,NaN,0.0899999999999999,1.62,2.96,NaN,5.15,6.67,NaN,9.34,NaN,NaN,13.92
NaN,NaN,-10.56,NaN,-6.91,-5.87,-3.9,-2.65,NaN,0.0599999999999987,1.78,3.02,NaN,5.26,NaN,7.93,9.28,11.77,NaN,13.92
-12.87,-12.26,-10.71,NaN,-7.28,-5.41,NaN,-2.66,-1.77,0.0799999999999983,1.64,3.01,3.95,5.26,6.89,8.08,9.33,11.41,NaN,NaN
-13.01,-12.21,-10.53,NaN,-6.78,-5.48,NaN,-2.97,-2.06,0.00999999999999801,1.61,2.92,3.87,5.22,7.1,NaN,9.38,11.63,NaN,13.92
-12.93,NaN,-10.71,-8.43,-6.85,-5.48,-4.11,-2.68,-1.96,0.0500000000000007,1.62,2.92,3.94,5.29,7.04,8.08,NaN,11.21,NaN,13.92
-13,NaN,-10.71,-8.53,-6.75,NaN,-4.03,-2.58,-1.83,0.120000000000001,1.7,3,NaN,5.52,6.75,NaN,9.18,11.55,12.46,NaN
-12.93,NaN,-10.8,NaN,-7.17,-5.43,-4.04,-2.76,-1.91,0.0199999999999996,1.18,2.93,3.94,4.92,6.63,7.99,9.29,NaN,NaN,13.92
-12.95,-12.24,-10.72,-8.08,-7.25,NaN,-4.03,-2.91,-1.81,0.0500000000000007,NaN,2.55,4.02,5.05,NaN,8.15,9.31,NaN,NaN,13.92
-12.82,-12.3,-10.76,NaN,-7.02,-5.41,-4.08,-2.64,-1.76,0.129999999999999,1.7,2.61,3.89,5.14,NaN,NaN,9.21,11.7,NaN,13.92
-12.87,NaN,-10.66,NaN,-7.1,-5.33,-4.02,-2.71,-1.77,0.0999999999999979,1.79,2.81,4.06,5.29,6.86,7.99,9.42,11.66,12.44,NaN
-13.08,-12.03,-10.6,-8.5,-7.37,-5.81,NaN,-2.74,-1.78,0.120000000000001,1.69,2.95,3.9,5.08,6.65,8.03,9.44,11.68,12.41,13.92
-13.02,-12.12,-10.65,NaN,-7.42,-5.48,-3.96,-2.8,-1.76,0.129999999999999,1.73,2.97,NaN,5.3,6.66,8.02,9.27,11.4,NaN,13.92
-12.93,NaN,-10.73,NaN,-7.42,-5.2,-4.05,-2.96,-1.67,0.109999999999999,1.7,2.87,3.9,5.07,6.82,8.21,9.3,11.36,NaN,13.92
-12.77,-12.15,-10.64,NaN,-7.28,-5.41,NaN,-3.13,-1.99,0.0300000000000011,1.38,2.77,NaN,NaN,7.03,8.14,9.25,11.54,12.44,13.92
-12.76,NaN,-10.71,-8.34,-7.08,-5.57,-4.13,-3.19,NaN,0.0899999999999999,1.72,2.93,4,4.81,6.84,7.91,9.05,11.43,NaN,NaN
-13.06,-12.07,-10.68,-8.13,-6.86,NaN,-3.97,-2.56,-1.72,0.120000000000001,1.75,3.06,NaN,5.3,7.06,8.02,9.04,11.3,12.42,13.92
-12.75,-12.05,-10.71,NaN,-7.29,NaN,-3.98,-2.73,-1.96,0.0999999999999979,1.67,2.93,3.94,5.41,6.71,8.06,NaN,11.26,12.42,13.92
-12.73,-12.03,-10.69,NaN,-6.85,-5.76,-4.01,NaN,-1.86,0.0899999999999999,1.75,3.03,NaN,NaN,6.54,7.88,9.24,11.76,NaN,13.92
-12.76,NaN,-10.72,NaN,-6.85,-5.45,NaN,-2.89,-1.83,0.18,1.56,2.92,3.91,4.92,6.93,7.89,9.15,11.26,NaN,13.92
-12.93,-12.04,-10.63,-8.19,-6.96,-5.33,-3.96,-2.77,-1.84,0.0399999999999991,1.74,3.13,3.97,5.09,6.44,7.96,9.24,11.22,12.4,13.92
-12.81,-12.24,-10.45,-8.48,-6.91,NaN,-4.28,-2.72,-1.93,-0.0799999999999983,1.68,2.96,4.23,5.23,6.54,8,9.14,11.26,NaN,13.92
-12.76,NaN,-10.6,NaN,-6.91,-5.7,-3.97,NaN,-1.89,0.190000000000001,1.63,2.85,4.03,5.09,6.67,8.06,9.2,11.65,NaN,13.92
-13.03,NaN,-10.63,NaN,-7.3,-6.04,-3.89,NaN,-1.9,0.140000000000001,1.71,2.81,3.95,5.38,7.2,7.98,9.35,11.22,NaN,13.92
-12.98,NaN,-10.77,NaN,-7.18,-5.53,-3.77,-2.63,-1.73,0.0599999999999987,1.8,2.71,3.91,5.21,6.8,7.88,9.34,11.68,NaN,13.92
-12.94,-12.15,-10.67,NaN,NaN,-5.87,NaN,-3.11,-1.99,0.0599999999999987,1.64,2.95,4.21,5.17,6.71,7.96,9.38,11.74,NaN,NaN
-12.78,NaN,-10.75,-8.11,-7.24,-5.41,-4.28,-3.19,-1.91,0.120000000000001,1.56,2.82,3.91,5.19,6.8,8.11,9.31,11.63,NaN,NaN
-13.08,NaN,-10.57,NaN,-7.11,-5.78,-4.3,-2.51,NaN,0.0399999999999991,1.67,2.72,3.99,5.2,6.83,7.98,9.5,11.74,NaN,NaN
-13.06,-12.17,-10.64,NaN,-6.82,-5.25,-4.04,-2.65,-1.94,0.0999999999999979,1.67,2.88,3.92,NaN,NaN,7.85,9.27,11.31,12.45,13.92
-12.75,-12.07,-10.64,-8.36,-6.95,NaN,-3.55,NaN,-1.83,0.0700000000000003,NaN,2.76,NaN,4.9,NaN,7.85,9.38,11.76,12.41,13.92
-12.76,NaN,-10.8,-8.51,-7.07,NaN,-3.76,-2.89,-1.62,0.0500000000000007,1.74,2.8,4.02,5.11,6.49,8.11,9.4,11.65,NaN,NaN
