i,N,boot,peaks_splithalf,peaks_spearmanbrown,jsd
329,6000,329,0.24385774876905286,0.39209909494936945,6.799357746150338e-4
329,6500,329,0.2561330997212514,0.4078120380365583,7.820737001135842e-4
329,7000,329,0.3113356159145993,0.47483742855173855,8.449155838636951e-4
329,7500,329,0.276762037373232,0.4335373848405347,6.791415392256763e-4
329,8000,329,0.19257353875310135,0.32295457260345917,6.595699737440038e-4
329,8500,329,0.44288875284699164,0.6138917528785491,4.2705454380553864e-4
329,9000,329,0.3240031734179332,0.4894296024706865,5.865751398140436e-4
329,9500,329,0.2248533627751523,0.36715148050980023,5.723200437933722e-4
329,10000,329,0.5074153239101992,0.6732256410847357,5.293654156760391e-4
329,10500,329,0.14807731554431278,0.2579570444245005,5.16265815482204e-4
329,11000,329,0.411118772087659,0.5826848600127902,3.876911565160873e-4
329,11500,329,0.27564074942018235,0.4321604645280726,4.478998775549088e-4
329,12000,329,0.5108080755272316,0.676205116720697,3.179513508391451e-4
329,12500,329,0.3809692541109741,0.5517418334649753,4.1674168980040266e-4
329,13000,329,0.49097797383854896,0.6585985607480406,4.207468526746786e-4
329,13500,329,0.3763617060032508,0.5468936026942353,4.3542083621132393e-4
329,14000,329,0.506767341995491,0.672655064748553,3.4965952768166187e-4
329,14500,329,0.5545653254988262,0.7134667374893084,3.081934623797776e-4
329,15000,329,0.6039401620046181,0.7530706896818501,2.424303285133645e-4
330,500,330,0.012376957458572056,0.024451282434643003,0.011070946516479784
330,1000,330,-0.10342556029272162,-0.230712712101159,0.005888758040254575
330,1500,330,0.0216601809737111,0.04240192850242531,0.003390576791911866
330,2000,330,0.15569572746892155,0.269440690604454,0.002387158723473984
330,2500,330,0.35372272164284774,0.5225925752558511,0.0013065247226871067
330,3000,330,0.19256985599532725,0.3229493937436597,0.0011627984547346597
330,3500,330,0.12347551257380872,0.21980988671650603,0.001676599272486208
330,4000,330,0.38333465636469216,0.5542182502274166,0.0011673290425691664
330,4500,330,0.398035660250223,0.5694213267478196,7.402958021254662e-4
330,5000,330,0.3165497661129364,0.4808777826113443,7.189893648693474e-4
330,5500,330,0.15935613853583996,0.27490454958403393,6.758455497125981e-4
330,6000,330,0.015565390304717023,0.03065364466594648,0.001090116101111648
330,6500,330,0.5843324331028992,0.7376386683677112,5.437198437576804e-4
330,7000,330,0.5554808305505459,0.7142239488145146,3.419055732617679e-4
330,7500,330,0.4988848979656367,0.6656747274493843,4.783697283898063e-4
330,8000,330,0.32052691237680625,0.4854530557046995,5.443882146129765e-4
330,8500,330,0.5078115014036797,0.6735742510664475,4.188967438989848e-4
330,9000,330,0.4522340133282177,0.6228114879251335,5.725606482438612e-4
330,9500,330,0.3107983003297437,0.47421224188581795,4.758220768922543e-4
330,10000,330,0.46862294004749694,0.6381800627904411,2.689690187258005e-4
330,10500,330,0.6364989259615152,0.7778788190619118,3.6333626297376306e-4
330,11000,330,0.4864589328260866,0.6545205146047604,3.374320562872273e-4
330,11500,330,0.5038087332863143,0.6700436327235942,3.5999535966895456e-4
330,12000,330,0.30257125820791964,0.4645753639984316,4.6122245580735796e-4
330,12500,330,0.5575244085825779,0.7159109745059494,3.957484895061353e-4
330,13000,330,0.5690958074108966,0.7253805723309391,2.832535575569298e-4
330,13500,330,0.4714984511833664,0.640841246967255,3.4799659212289384e-4
330,14000,330,0.46096147598147524,0.63103850931018,3.4999348415552193e-4
330,14500,330,0.6522552236359996,0.7895332564912438,2.7844057877292664e-4
330,15000,330,0.4916738093724492,0.6592242972735408,2.889926074340476e-4
331,500,331,0.11294841952931285,0.20297152598874418,0.008040178410312952
331,1000,331,0.09853969807229969,0.1794012510339237,0.005891887862485783
331,1500,331,-0.07940123497913017,-0.17249911252559666,0.003550819653204804
331,2000,331,-0.012654145532731828,-0.025632650353425532,0.0026477526424465224
331,2500,331,0.2205353179088411,0.3613747421691772,0.0023073889722846188
331,3000,331,0.10734313745832381,0.19387511210790126,0.0015111596671553368
331,3500,331,0.29008074255547345,0.4497094375362323,0.0012167591399837258
331,4000,331,0.2805631617234998,0.4381871509498869,9.278775612425994e-4
331,4500,331,0.29239729918971197,0.45248825476969795,8.317076339398634e-4
331,5000,331,0.5071959352933982,0.6730325147734226,5.867294294524036e-4
331,5500,331,0.33387542668309783,0.5006096071704902,8.222583113505913e-4
331,6000,331,0.37966663244764853,0.550374450636799,9.539882448054244e-4
331,6500,331,0.26304322028400057,0.41652291237485,6.627539173694255e-4
331,7000,331,0.43925199208849547,0.6103892779069187,5.023516168738778e-4
331,7500,331,0.4497134817253832,0.6204170512233281,7.244069641215248e-4
331,8000,331,0.4666851981787226,0.6363808658575619,3.639044483764953e-4
331,8500,331,0.43074785371729124,0.6021296521230426,5.93973468930627e-4
331,9000,331,0.5323942220613334,0.6948528184153183,4.0251094392403965e-4
331,9500,331,0.47955302879936623,0.6482404070214582,4.328202311400665e-4
331,10000,331,0.48913506132396867,0.6569384792929202,4.98504493368342e-4
331,10500,331,0.4400261647488374,0.6111363467143456,4.6011594095360787e-4
331,11000,331,0.43982244561936584,0.6109398376966796,3.6920209288305575e-4
331,11500,331,0.5949788990266356,0.7460649158302121,4.0220423251800656e-4
331,12000,331,0.5645323644614019,0.7216627502055478,2.932668247448693e-4
331,12500,331,0.5022247127103755,0.668641260473263,2.9581265065944603e-4
331,13000,331,0.5882112582865083,0.740721683236421,2.880172091311264e-4
331,13500,331,0.36551925466795765,0.5353556947929496,4.564653428865807e-4
331,14000,331,0.40050927927410856,0.5719480551841751,3.299042395519927e-4
331,14500,331,0.539733923576738,0.7010742769412504,2.5449486276288096e-4
331,15000,331,0.6190870765816476,0.7647359867620167,1.974885916704151e-4
332,500,332,0.2401732732033609,0.38732212408189487,0.009166553046402424
332,1000,332,-0.029842123455704302,-0.06152013847890821,0.006102340456760615
332,1500,332,0.2491640567907933,0.39892927664107874,0.0033448989949786713
332,2000,332,0.024852981151533466,0.048500578343653636,0.0023624368250330123
332,2500,332,0.49486487437579224,0.662086430497515,0.0016642526433699768
332,3000,332,0.33286337788142845,0.49947111370185754,0.0012553811598631872
332,3500,332,0.181274718441252,0.3069137358335284,0.00185059858388405
332,4000,332,-0.05961476603761375,-0.1267879670683945,0.0015682287718448797
332,4500,332,0.20221647361254177,0.33640609333009924,0.0011983275627567083
332,5000,332,0.4376307680713219,0.6088222063561327,6.840542868307369e-4
332,5500,332,0.4411799236081695,0.6122482229749937,7.106051348968009e-4
332,6000,332,0.3766272217691119,0.5471738693138815,5.216113879028587e-4
332,6500,332,0.4099868392712896,0.5815470440606089,6.178847506185855e-4
332,7000,332,0.6004682097789362,0.7503656818798988,4.356213135189008e-4
332,7500,332,0.5055423436587049,0.671575058367548,3.9700144106949e-4
332,8000,332,0.44380235545831104,0.614768848077455,5.731872246799657e-4
332,8500,332,0.4630729679834639,0.6330141805869216,3.7213675179019435e-4
332,9000,332,0.40603214075734895,0.5775574099446157,5.03258126409526e-4
332,9500,332,0.45141261558772744,0.6220320958212627,5.061004095482662e-4
332,10000,332,0.4177631224056283,0.5893271108600672,4.5090134670185865e-4
332,10500,332,0.45956539365024845,0.6297290901107413,3.220982706690421e-4
332,11000,332,0.3452035050937014,0.5132361070820373,6.502174743665001e-4
332,11500,332,0.6031544436887254,0.7524595600420345,3.146254347457869e-4
332,12000,332,0.32021886339993455,0.485099663816772,4.4926839313531587e-4
332,12500,332,0.6997781874047869,0.8233758882071605,2.8716990570261543e-4
332,13000,332,0.6652012790289181,0.7989439924245532,1.8754586982853776e-4
332,13500,332,0.601862432193238,0.7514533334415989,2.8307002667748266e-4
332,14000,332,0.5905278773378891,0.7425558341376224,2.660718466404458e-4
332,14500,332,0.5066012371886488,0.6725087231893927,2.872934578017275e-4
332,15000,332,0.4790137249734477,0.6477475048205483,3.1734711500423004e-4
333,500,333,0.1992365993878025,0.3322723797614427,0.009062962516596027
333,1000,333,-0.20828681279391306,-0.5261673448409921,0.005495833064325055
333,1500,333,0.0737065151509248,0.13729359766539984,0.0028420740424246298
333,2000,333,-0.208037397153543,-0.5253717698432196,0.0031616817046965086
333,2500,333,0.2283370557628926,0.3717824105226193,0.0021143741339830343
333,3000,333,0.03887738260168954,0.07484498797024117,0.0015164354052751728
333,3500,333,0.2971008407718557,0.458099835314365,9.212053070676853e-4
333,4000,333,0.15374254380119814,0.2665110073772049,0.001101741505925654
333,4500,333,0.0227056351701941,0.044403070422928743,0.00155182658373126
333,5000,333,0.34795102976662134,0.5162665736111558,8.966435791588914e-4
333,5500,333,0.35983644883717353,0.5292348931297991,5.592382437582346e-4
333,6000,333,0.24814180902407207,0.3976179745442472,6.216129661465865e-4
333,6500,333,0.2321723961432658,0.3768505070718544,5.709700706126115e-4
333,7000,333,0.019117793815820374,0.037518320123209284,7.897431039424646e-4
333,7500,333,0.45128216688213957,0.6219082369786864,5.31383538705263e-4
333,8000,333,0.504723090326262,0.6708517913642507,6.819162827957853e-4
333,8500,333,0.34549560820155434,0.5135588791157158,5.113290048596042e-4
333,9000,333,0.339080342024021,0.5064376369105692,5.989948661045772e-4
333,9500,333,0.43589656987690184,0.6071420170803401,4.2912702081347883e-4
333,10000,333,0.2253609968283628,0.3678279256670829,6.101989678557769e-4
333,10500,333,0.5289147409498498,0.6918825841410327,4.3489515694239417e-4
333,11000,333,0.4481069643357871,0.6188865537862023,3.41175007221562e-4
333,11500,333,0.4882268824235476,0.6561188864274242,3.7586710718063497e-4
333,12000,333,0.49817247326076186,0.6650402168670112,3.5581345999993904e-4
333,12500,333,0.4195741469848394,0.5911267796416418,4.550387994738023e-4
333,13000,333,0.44190708859044076,0.6129480770115834,3.7007866813486886e-4
333,13500,333,0.483857508344066,0.6521616875248815,3.283580025418012e-4
333,14000,333,0.5503351379842016,0.7099563500828163,3.360552157559868e-4
333,14500,333,0.6465011540363548,0.7853030074731184,2.1511480506878383e-4
333,15000,333,0.513709696919635,0.6787426915015774,3.2528735928123747e-4
334,500,334,0.16379388529800923,0.2814826360014205,0.008385173082252829
334,1000,334,-0.17505469809119387,-0.42440316390951544,0.00472008445804034
334,1500,334,0.06875100115944541,0.12865672375485063,0.0027978690451452323
334,2000,334,0.2807036291356179,0.4383584503857032,0.00261344361861429
334,2500,334,0.23157142938965344,0.3760584629742774,0.0015082556901644538
334,3000,334,0.18128073830467925,0.3069223638825182,0.0012386393911768831
334,3500,334,0.3040515181327759,0.4663182610578703,0.001185448165373549
334,4000,334,0.22860020429112105,0.3721311513585805,0.0012219836940299887
334,4500,334,0.2101418800105557,0.3473012272060574,0.001114187143690584
334,5000,334,0.26948211114483805,0.4245544049483534,0.0013878505957984513
334,5500,334,0.2501893295193401,0.4002423050843512,8.801454759311213e-4
334,6000,334,0.2688092884089963,0.4237189794631241,8.67248244124696e-4
334,6500,334,0.30956053160401664,0.4727700997904252,9.817776619941655e-4
334,7000,334,0.19979787840295135,0.3330525616012956,7.538994333781844e-4
334,7500,334,0.14760500394107628,0.25724008423486283,7.546686288575251e-4
334,8000,334,0.392698183545319,0.563938674129161,4.856633589422965e-4
334,8500,334,0.41412740531503495,0.5857002753196441,5.687057237553067e-4
334,9000,334,0.3942586749707378,0.5655459521942905,5.831256221928736e-4
334,9500,334,0.5154136002604975,0.6802282890583781,4.308573829428839e-4
334,10000,334,0.2384459191937988,0.3850728005127941,6.424003130110153e-4
334,10500,334,0.5477288027086615,0.7077839499401807,2.8055538896690815e-4
334,11000,334,0.44075182326465995,0.6118358708940475,4.0725320697145354e-4
334,11500,334,0.5051506556885131,0.6712293600369699,3.037251671090931e-4
334,12000,334,0.5125323051902023,0.6777141928558689,4.177725192468823e-4
334,12500,334,0.5068961273424589,0.672768504935259,4.933054016915965e-4
334,13000,334,0.49823195923024116,0.6650932202597278,4.554313228947634e-4
334,13500,334,0.5104624912886724,0.6759022408469927,4.672373584637183e-4
334,14000,334,0.49920396381161286,0.6659587032339809,3.642675823842905e-4
334,14500,334,0.6700084938763882,0.802401300751685,1.9746262078875666e-4
334,15000,334,0.608381044213804,0.7565135717092314,2.4253710732407386e-4
335,500,335,0.08069313497369777,0.14933588890737556,0.010841025076679132
335,1000,335,0.005094255757437845,0.010136871697866425,0.005797271371333951
335,1500,335,-0.10648916629669161,-0.2383612202111284,0.0033445814830712984
335,2000,335,0.1580477614845957,0.27295551486059855,0.002705897693825253
335,2500,335,0.4604013950297035,0.6305134966271917,0.001354951400540835
335,3000,335,0.3211306025470783,0.48614512740519894,0.001717529815183914
335,3500,335,0.2718258313753169,0.42745763558107963,0.0011776772891178206
335,4000,335,0.28574723271771846,0.44448430522961635,0.0013183003258037775
335,4500,335,0.27178694935749637,0.4274095586447124,0.0010862615475292349
