i,N,boot,entropy.cor.r,entropy.cor.sp,peaks_splithalf,peaks_spearmanbrown,jsd
952,350,952,0.9771977484093534,0.9545454545454546,0.6110549058802996,0.7585773813790808,0.01570691973636243
952,400,952,0.8940936777304569,0.9,0.6346287719390095,0.7764806087270908,0.012962733932879522
952,450,952,0.98147226702851,0.9363636363636364,0.7248941223234971,0.8405085424571308,0.010723147045380473
952,500,952,0.9523023945648631,0.8818181818181817,0.49982734178353144,0.6665131750287441,0.016469364492658463
952,550,952,0.975269107852055,0.9272727272727272,0.7434496228125494,0.8528489875299172,0.008909358796616905
952,600,952,0.9708442617090782,0.9727272727272727,0.6790318917238962,0.8088373962054054,0.011930995364789549
953,50,953,0.5357417334133556,0.5831450209001027,0.09405788882246474,0.17194316641452914,0.13294910346078648
953,100,953,0.760634958373376,0.5363636363636364,0.3510728824156607,0.5196949579625303,0.07301034628567542
953,150,953,0.8948407260244075,0.7636363636363637,-0.040759833453523964,-0.08498358362175426,0.05546599621811006
953,200,953,0.8002285240724071,0.7272727272727273,0.4462979184139079,0.6171590413451516,0.02282471833102054
953,250,953,0.9526435424987003,0.9272727272727272,0.3825595740004952,0.5534077246212873,0.03440957303512647
953,300,953,0.9097343315367855,0.8454545454545456,0.5456789512172506,0.7060702363676731,0.02160826167590474
953,350,953,0.9355793084312393,0.7909090909090909,0.5630737820490632,0.7204698697087978,0.013116437115836849
953,400,953,0.9369581968148045,0.9636363636363636,0.5012175878221451,0.6677480891351324,0.013306435056996482
953,450,953,0.9661154601407625,0.9363636363636364,0.5950978415534819,0.7461584186884863,0.014486348888459885
953,500,953,0.9604438811097901,0.9,0.5913047995554033,0.7431697556880476,0.0126467943635024
953,550,953,0.9618728417663156,0.9090909090909091,0.7963782551619097,0.8866487365603646,0.006649549987197346
953,600,953,0.9768671490322626,0.8818181818181817,0.683503038747895,0.8120009563585346,0.00886980675697914
954,50,954,0.487813409109108,0.6605939689883975,0.55481266360557,0.7136713979663297,0.07907896502968564
954,100,954,0.6306468387317805,0.5,0.10642684110444908,0.1923793551469024,0.0665814039699612
954,150,954,0.8603811968973736,0.8545454545454546,0.24162520751721137,0.38920796075068725,0.042708140286369656
954,200,954,0.9306358889238467,0.9272727272727272,0.6486118926427995,0.7868581993583041,0.018393883516705775
954,250,954,0.8743762916740533,0.8727272727272727,0.4824103261639125,0.6508458793757371,0.019996093052300927
954,300,954,0.9052627579356681,0.8363636363636363,0.38111861498004035,0.5518984551309494,0.016036490813080586
954,350,954,0.9891775297273893,0.9272727272727272,0.43279720655052245,0.6041290485099245,0.011108855199370576
954,400,954,0.9530689654714751,0.9090909090909091,0.4686111288922948,0.6381691104925051,0.011970908235433342
954,450,954,0.9699840803476646,0.9272727272727272,0.5619295915896867,0.7195325507826138,0.012357923146245835
954,500,954,0.9814792908001511,0.990909090909091,0.751886478092201,0.858373516200665,0.009090297214871677
954,550,954,0.9754511519718815,0.9454545454545454,0.54137966176741,0.7024611459406979,0.011939992305209817
954,600,954,0.9627685464875698,0.9363636363636364,0.6444044147210516,0.7837541774422506,0.011128447547901935
955,50,955,-0.29711600615082767,-0.28211305987021235,-0.1837531834907783,-0.4502392653159029,0.124590215942829
955,100,955,0.7496037858429282,0.6363636363636364,0.15561027278752715,0.2693127197842728,0.04698498488407188
955,150,955,0.6981090638039091,0.4636363636363636,0.5601837193021363,0.7180996857891891,0.031420597680140425
955,200,955,0.8046964177477047,0.7363636363636363,0.6628086926150101,0.7972158138921518,0.027266979413382207
955,250,955,0.8507118287578431,0.7909090909090909,0.3184076296879688,0.4830184876331871,0.021569304488775046
955,300,955,0.8994840955868051,0.9,0.45185635904788635,0.6224532561116576,0.023954398436194124
