bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-28798_ses-1_task-rest_run-1_bold	0.0016992763157894738	0.018183378289473685	0	39.405042989403995	1.1066371040397354	1.0110248858278146	0.5786176775101409	763.6237182617188	0.2053732700344062	55	36.18421052631579	2.303748955937232	2.1951433333333332	2.530990201145029	2.1851133333333332	0.00766697	-0.013429554179310799	0.054778870195150375	152	64	64	43	4.6561465562305875	2.0	3.0	2.999999761581421	3.0	36.50022217785899	18.415480634254738	76.99037202308774	42.0	123702.0	11.0	256.0	117.24914804221127	3.4353358804836738	169.557969222572	1117.5822111166215	1160.0	52426.0	592.0	1426.0	249.1306754900365	42.40087518002838
sub-28799_ses-1_task-rest_run-1_bold	0.036978750000000005	0.0433683572368421	0	55.33771219331126	1.3006494730463571	1.3088345913245027	0.613584392599403	318.3729248046875	1.3146558636304924	67	44.078947368421055	2.417342222222222	2.3975666666666666	2.56528	2.28918	0.0615756	-0.012355041690170765	0.09055958688259125	152	64	64	43	4.357158360425281	2.0	3.0	3.0	3.0	22.05571075929439	36.372523270204624	106.69951691590198	56.0	125651.0	12.0	386.0	146.30487723320923	2.1586694781478704	167.63159983612502	976.8314479862115	999.0	50477.0	534.0	1309.0	229.27560160045883	19.756117097334936
sub-28800_ses-1_task-rest_run-1_bold	0.0024024342105263157	0.02136864736842105	0	37.363866048013215	1.091684850993378	1.0216404552317884	0.590716459433306	733.0310668945312	0.34307955336940743	124	81.57894736842105	2.392793333333333	2.2613233333333334	2.6813966666666667	2.2356599999999998	0.00460293	-0.0030813729390501976	0.06058561056852341	152	64	64	43	4.309841205811919	2.0	3.0	3.0	3.0	36.85027443206635	17.4595945943019	72.60926534859522	39.0	120125.0	5.0	249.0	116.63586974450702	2.4284281073269254	179.6484238234706	1027.410370872989	1061.0	56003.0	511.0	1353.0	246.1785658877928	37.74935753736645
sub-28801_ses-1_task-rest_run-1_bold	0.0013906578947368421	0.015919146710526317	0	36.77292683609271	1.1271230479470196	1.0751165085430472	0.5818753401022027	651.4830932617188	0.12794203595557804	23	15.131578947368421	2.415577846095744	2.35635	2.5789168716205655	2.3114666666666666	0.0229144	-0.009001057595014572	0.04844801872968674	152	64	64	43	4.243238619584461	2.0	3.0	2.999999761581421	3.0	38.19776074023969	19.57620121495131	74.98358684347374	42.0	123072.0	1.0	242.0	110.35065591608779	2.8473499054568494	170.54323368516287	1047.3627864897467	1084.0	53056.0	496.0	1381.0	255.46283900404072	41.5994410115527
sub-28802_ses-1_task-rest_run-1_bold	0.002583092105263158	0.024621871052631576	0	38.12996700112583	1.0483655840397352	1.0021947441721852	0.5901845686323608	717.9450073242188	0.3058689017598022	95	62.5	2.308158888888889	2.1711533333333333	2.5906	2.1627233333333336	0.00972317	-0.007799858693033457	0.0606476366519928	152	64	64	43	4.259821419093831	2.0	3.0	3.0	3.0	33.206821264903866	17.498607465484348	73.70159290861298	40.0	120597.0	1.0	252.0	110.93342529223692	2.617534144577027	175.71768193092626	1037.571230483874	1070.0	55531.0	497.0	1375.0	251.18197699609138	35.97173028776888
sub-28803_ses-1_task-rest_run-1_bold	0.0017590131578947368	0.014743520394736843	0	36.50794079774837	1.127619204900662	1.0461303504635764	0.5700139440680143	755.4799194335938	0.15166356205109538	33	21.710526315789473	2.3528877777777777	2.2523166666666667	2.5993233333333334	2.2070233333333333	0.0077255	-0.005455839913338423	0.04411919787526131	152	64	64	43	4.108489048723281	2.0	3.0	3.0	3.0	42.81041911993772	20.210208444934437	74.4040007387956	42.0	124527.0	2.0	235.0	108.53001386459924	2.3353046495648897	202.989635752263	1113.449448654096	1162.0	51601.0	473.0	1465.0	282.8262961622894	41.99894233455416
sub-28804_ses-1_task-rest_run-1_bold	0.006550986842105263	0.02232968092105263	0	35.877002943311254	1.0965127352980142	1.0318291513907283	0.5965465008247233	800.0258178710938	0.14284186204735438	16	10.526315789473685	2.4386222948797602	2.343393333333333	2.7427302179726136	2.2297433333333334	0.0136903	-0.002497593406587839	0.04769045487046242	152	64	64	43	4.815299601003303	2.0	3.0	2.999999761581421	3.0	32.50252002092476	20.005376732030015	78.20050466818067	41.0	118890.0	4.0	271.0	124.3542674401315	3.4557245360669873	167.47559359682427	1141.3026660610085	1173.0	57238.0	656.0	1461.0	243.59642191766878	38.405114590073936
sub-28805_ses-1_task-rest_run-1_bold	0.002499605263157895	0.01521362105263158	0	36.738656050198664	1.1030534654304633	1.0261968785430466	0.5610835822836195	799.6840209960938	0.20841565502478063	44	28.94736842105263	2.2309300000000003	2.1810533333333333	2.348003333333333	2.1637333333333335	0.00646102	-0.004116428550332785	0.03744492679834366	152	64	64	43	4.256961293400769	2.0	3.0	3.0	3.0	37.91618038645613	17.157219392084098	67.72105535026026	40.0	125835.0	1.0	214.0	97.15836802205952	2.489876427060339	191.08990693525107	1090.140516572883	1130.0	50293.0	511.0	1425.0	265.44492371309826	42.79622908029705
sub-28806_ses-1_task-rest_run-1_bold	0.0013632894736842107	0.015037040131578945	0	39.05999308688741	1.0731782416556295	1.0116355122516556	0.6045426342718548	478.9136962890625	0.12733944211224746	11	7.2368421052631575	2.2117766666666667	2.1699266666666666	2.4136133333333336	2.05179	0.00426085	-0.004268735181540251	0.06144849210977554	152	64	64	43	4.1060789333267005	2.0	3.0	3.0	3.0	24.79076810361704	29.047299621355062	91.96354986822259	51.0	120658.0	3.0	326.0	126.72878698037417	2.4825489059425445	192.2505426807682	1081.4422029926086	1118.0	55470.0	497.0	1437.0	272.2767731913565	39.045744668808766
sub-28807_ses-1_task-rest_run-1_bold	0.003201973684210526	0.019093359210526316	0	39.83033474536427	1.0982301086092712	1.0120829980132455	0.565986186047927	580.7518920898438	0.10236412767082173	4	2.6315789473684212	2.412317777777778	2.3891733333333334	2.58022	2.26756	0.00713052	-0.003831528127193451	0.042941149324178696	152	64	64	43	3.922546772145676	2.0	3.0	3.0	3.0	36.286297697322205	22.873040507567154	86.7363290610844	48.0	129362.0	10.0	301.0	118.59603420344556	2.3517631145998887	193.52836408747706	1094.5000855322244	1146.0	46766.0	421.0	1457.0	292.15400453122106	39.402825948316604
