"boot","degree","mean_error_interval","mean_abs_int_size","melcon","interval_entropy_0.25"
23,1,1.49940454959726,6.74191038453109,3.97350205798606,6.2781133937708
23,2,0.965907797254445,6.52566997659819,4.02843566294681,6.25913062864959
23,3,0.848810150440482,6.37062018326264,4.01142959491789,6.22837041392066
23,4,0.849492265232029,6.18104261688308,4.06765842826242,6.06006700856756
23,5,0.855775141603647,5.98619905641204,4.06298854447337,6.13646135481318
23,6,0.834076483288119,5.84081053788084,4.13685938910092,6.07185179148653
23,7,1.02251841478952,5.54582435695832,4.13264613171565,6.02432711270492
23,8,0.801040175292193,5.54432730544732,4.12653549284907,5.97996283524484
23,9,0.928984797413237,5.52383060956438,4.12000757978756,6.0144148502847
23,10,0.719991483858629,5.42489660820117,4.12837049752493,5.91138329460424
24,0,0,7.55245251977569,3.91274239471584,6.37765426544538
24,1,1.5186250139606,6.73979661533947,4.00567556292092,6.20865049878971
24,2,1.0271334924581,6.44245854878104,4.0236848531198,6.16168676082003
24,3,0.819508966577697,6.26770454415531,4.05739737831399,6.09192782656236
24,4,0.769308219276378,6.18088194633546,4.1200677463502,5.92057860860385
24,5,0.87204210669935,5.88254810696323,4.0732280135283,5.97398847077653
24,6,0.886111525288149,5.73147855045372,4.17335947409013,5.8938482843727
24,7,0.881371279481543,5.49821842117703,4.13045712070593,6.02921087898209
24,8,0.796702304557832,5.38200259330566,4.16003923519611,5.91671176868874
24,9,0.766930672368465,5.34670749537591,4.09363521996843,5.8425571330151
24,10,0.614642562552432,5.28027919353247,4.15077142971602,5.88834387854436
25,0,0,7.94697763090776,3.80282696881389,6.52181259237523
25,1,1.45440924566534,6.95325639732117,3.98439412288944,6.25827451023829
25,2,0.98792773477876,6.83924031546278,4.00831294371916,6.34294970081624
25,3,0.9743743795618,6.43400849172654,4.0028090082852,6.13115143069575
25,4,0.85830670153432,6.27566988327064,4.06981328173202,5.96744336542816
25,5,0.955795008655943,5.86431770940348,4.07736996877838,6.03397127501015
25,6,0.759390851760157,5.77282305047669,4.10719059316266,6.00179872145965
25,7,0.847645051937276,5.54269517541584,4.14744838258593,5.94315511839212
25,8,0.796139831378072,5.40235661388472,4.17739533922904,5.96026996475954
25,9,0.871158515501412,5.36184523896936,4.14719435425838,5.9311532724728
25,10,0.712875468724201,5.24019157231769,4.15641967695639,5.92620149998855
26,0,0,7.37774542654071,3.89582045209883,6.49497267730191
26,1,1.41759281102501,6.48197144444686,4.02285758430241,6.27719944684658
26,2,1.04606724375506,6.30738782209628,4.03427842004658,6.27164622633072
26,3,0.905009020005805,6.10009737630033,4.05272051028724,6.21754365890438
26,4,0.799026607292523,6.04212377986781,4.12544971155881,6.07362072110575
26,5,0.885691753991983,5.79968740220263,4.11410456411781,6.15445522228683
26,6,0.877955272541071,5.70839116124093,4.18063473067518,6.02099171664321
26,7,0.990634802566634,5.50674592599707,4.17292208336651,6.03302626704455
26,8,0.810723691547086,5.44974333253155,4.2010763179242,6.0030550353738
26,9,0.859894876615673,5.45653141562273,4.13061747050883,5.99583142139718
26,10,0.70889180054995,5.3220690880588,4.21757388382679,5.94306570003907
27,0,0,7.33974306115482,3.84772754040596,6.41717755021325
27,1,1.44877531264641,6.74300096239585,3.98084902806264,6.25936391463531
27,2,1.04284631006646,6.42172095824959,4.00893951826328,6.13651132991261
27,3,0.901005340571517,6.13862312467773,4.03862106436842,6.10588108466752
27,4,0.812293352428095,6.0797765454436,4.1103575771713,5.86873963038602
27,5,0.904642006180975,5.71360367001656,4.09177095782251,5.93786240486457
27,6,0.861880540646387,5.54709587130076,4.1716630876472,5.95181905603401
27,7,0.876607668261175,5.28456242730126,4.15386106312073,5.86954996384271
27,8,0.840789821964748,5.33920234095872,4.12224909347223,5.86307103055286
27,9,0.760471218123489,5.30166246374376,4.12649930036539,5.80501831148933
27,10,0.724426304204151,5.20515026834872,4.18189449883539,5.87518389608734
28,0,0,7.42632974971055,3.86047864954481,6.42929167675674
28,1,1.42959023341634,6.51055863888562,4.01764530647766,6.24793082765014
28,2,1.06186142242543,6.30760737245743,4.03591756539328,6.19332203586351
28,3,0.883852531745212,6.10668820667629,4.03619504410363,6.10208063956481
28,4,0.785493518944433,5.99559405969109,4.10188998250279,6.07251946195148
28,5,0.830963735786603,5.72635065356258,4.09157811488178,6.01458190055655
28,6,0.819314291801719,5.61718117954685,4.13396247692667,5.97005881679595
28,7,0.870610226816137,5.35194439701126,4.15676384751757,6.02354861341311
28,8,0.824362523469745,5.23303049778715,4.152627408326,5.91357561675446
28,9,0.810175726443804,5.37754486093918,4.1355191941277,5.90499424992536
28,10,0.65510347066093,5.29586178974289,4.12820256624187,5.91352602902901
29,0,0,7.42952279837765,3.90631379168771,6.46341011637785
