"boot","degree","mean_error_interval","mean_abs_int_size","melcon","interval_entropy_0.25"
18,8,1.46311494492288,8.81551333929569,-0.0897693492067198,6.38936959611974
18,9,1.21749279186256,8.89492349112428,-0.113289072123966,6.25744434531007
18,10,1.19219407465888,8.80215196967554,-0.132815206728889,6.2979131905551
19,0,1.40763403376071,7.23012733989371,-0.0565115414466902,6.49089568134331
19,1,1.65470150634074,7.15607141579078,-0.0811236229736476,6.44049434523342
19,2,1.70420460074909,7.34292747532646,-0.123790617693793,6.45953216570204
19,3,1.69921906324138,7.52853243665305,-0.0762368897461,6.32858399548364
19,4,1.63578910877861,7.5854658266238,-0.115213791471786,6.39934549224708
19,5,1.67707286976236,7.77825141100536,-0.0866719475497357,6.41185637639447
19,6,1.63695084076551,7.85108393019952,-0.134485532561627,6.28478134895252
19,7,1.58854182359417,7.95392258708258,-0.10294584009904,6.32247104415792
19,8,1.50351680846179,8.33753361851163,-0.095094872061373,6.4033274455646
19,9,1.31696183201173,8.41255322073253,-0.0998220251060684,6.25530036824516
19,10,1.34248966891817,8.17748563752881,-0.10258586656677,6.24310998249615
20,0,1.56302434288005,7.49243596369752,-0.095877830763595,6.38151550637257
20,1,1.77609260952592,7.36813388829763,-0.11425649802366,6.34732539573339
20,2,1.74827547705473,7.49252500853013,-0.121479701017432,6.43199246541038
20,3,1.67160166560494,7.7054514127526,-0.0870468732605548,6.40456765169623
20,4,1.54852506624204,7.88812478812925,-0.0963600976904364,6.29078951503962
20,5,1.60664672860475,8.0702521468171,-0.100687160057699,6.35709748805823
20,6,1.47800287419584,8.16174145393087,-0.135538505551278,6.27494253016485
20,7,1.62064878286613,8.33721216945491,-0.113659697648559,6.31500390454454
20,8,1.33348482604971,8.57344931071821,-0.105136019625688,6.34525294840634
20,9,1.12306405074996,8.67450069361313,-0.110597240848322,6.18514910203867
20,10,1.20349803630963,8.43624136994777,-0.119163638293811,6.2674266608529
21,0,1.58734224257519,7.62137158685346,-0.100334024114411,6.43950266012589
21,1,1.61623728238899,7.5026073924718,-0.120479326190256,6.39444865417222
21,2,1.74415386569456,7.78510195819619,-0.11553098007759,6.43718750799508
21,3,1.73673158425962,7.74683920918456,-0.105108935751721,6.4541269341328
21,4,1.59287079149629,7.88064456897945,-0.119464827996568,6.38366190219605
21,5,1.689935191309,7.91287088825075,-0.114888604120377,6.36822379871869
21,6,1.73362820997849,7.99287593900882,-0.144689173560263,6.33939666011097
21,7,1.587876405978,8.17787241641862,-0.087329380867841,6.37593910729643
21,8,1.37706738935969,8.53712377944797,-0.104740386719488,6.35751505715498
21,9,1.32547390886819,8.68401940402801,-0.103690591270999,6.30112403111943
21,10,1.37984207798649,8.56303585515203,-0.133678037106188,6.33112986682229
22,0,1.48733991281931,7.28207867824035,-0.127296724320214,6.41480690008784
22,1,1.67578607672255,7.29961035020961,-0.101441100080637,6.40480339341079
22,2,1.66125908800032,7.42366276166587,-0.084196851827373,6.40744110434694
22,3,1.77080582855239,7.56464401420585,-0.0758339482130257,6.3978048712582
22,4,1.593567988418,7.73176917818071,-0.0933688254829647,6.42724312188275
22,5,1.80289148049309,7.84680972765953,-0.117360356005077,6.32909283404702
22,6,1.74538293812346,7.97260296955645,-0.114579118345713,6.35309463628792
22,7,1.61995442956916,8.16889925627641,-0.124555415252541,6.38541616891785
22,8,1.50403216297005,8.37212282314451,-0.0770699575980855,6.38703581750464
22,9,1.25974791667158,8.53593596015971,-0.119573563904691,6.29222995927003
22,10,1.24516926996527,8.28750282661741,-0.112343190316852,6.33155466423953
23,0,1.43198585561072,7.07124560407469,-0.0646042782691428,6.47686899129204
23,1,1.77358937085487,6.99156201090708,-0.105371690975487,6.35562449722185
23,2,1.85047563707742,7.22669757153901,-0.114143818934028,6.45383364929994
23,3,1.64151134838937,7.38013229410529,-0.0782527173262795,6.35133984521805
23,4,1.46405820325634,7.5210688666514,-0.0987929654115282,6.35992016185211
23,5,1.69274798365144,7.69870406318777,-0.0850809001783094,6.3673400228977
23,6,1.66008202212729,7.90588577249132,-0.14467577242509,6.39583710625925
23,7,1.61539558754248,8.06594587603975,-0.109175705090034,6.29762285774384
23,8,1.47774524742573,8.41237726352623,-0.108399723751667,6.31264025809454
23,9,1.25166641169461,8.51229751610193,-0.108703809411779,6.25910138843792
23,10,1.44686633121755,8.36890924459013,-0.125365356619118,6.34790342343632
24,0,1.36931780211415,7.54536412135239,-0.0998073604121215,6.49359160911355
24,1,1.70182967593118,7.70743608504382,-0.0996719295184071,6.43197756931691
24,2,1.71579695663449,7.90678654276761,-0.118258280889063,6.40428785245056
24,3,1.71429861292264,7.98496169623157,-0.0933843714887836,6.34013979703561
24,4,1.55920327534146,8.11905457997693,-0.111131513977035,6.33603837844251
24,5,1.56680015294331,8.19517824717684,-0.11689739535978,6.44381814089385
24,6,1.60667885385211,8.258343323128,-0.150505093998558,6.35931102103568
24,7,1.55591313788681,8.37937482292258,-0.119255489944675,6.2562542540683
24,8,1.34396659621564,8.5566037202662,-0.112918094891406,6.39471956532824
24,9,1.21266865566135,8.69508864820231,-0.142114109335586,6.30636080094579
24,10,1.32633044459239,8.67854666809828,-0.141222298950061,6.30532518607414
25,0,1.4930236748986,7.33603337770627,-0.0958010660584133,6.50749700452864
25,1,1.56868994412309,7.19530321637229,-0.112153595632515,6.41860365699923
