"participant_id","id","degree","type","origin_id","network_id","register_trial","max_num_diff_pitches_allowed","reference_pitch","target_pitch1","target_pitch2","target_pitch3","num_target_pitches","target_interval1","target_interval2","sung_pitch1","sung_pitch2","sung_pitch3","num_sung_pitches","sung_interval1","sung_interval2","in2ref_1","in2ref_2","in2ref_3","save_plot","stats","max_abs_pitch_error","max_abs_interval_error","direction_accuracy","root_mean_squared_pitch","root_mean_squared_interval","full","trial_maker_id","net_n_trials","net_n_failed_trials","net_num_notes","register_source","sung_median_pitch","register","predicted_register","singing_performance","GMSI_SA","GMSI_MT","age","gender","mt","confirm_sung_intervals","pitch_RMSE","interval_RMSE","int_class","net_n_trials_good"
"67india6",1079,10,"custom_trial",528,"94india6","low",0,59.4851189072098,58.5581270536292,65.4322602566102,61.7302386170304,3,6.87413320298102,-3.70202163957986,58.8774832996071,65.8458336124204,62.6200824261667,3,6.96835031281333,-3.22575118625374,-0.607635607602688,6.36071470521064,3.1349635189569,TRUE,"3,3,0.3193562459779,0.413573355810207,0.88984380913633,0.540924470308146,0.88984380913633,0.595777737398623,0.0942171098323072,0.476270453326123,0.285243781579215,0.476270453326123,0.343300457687303,100",0.88984380913633,0.476270453326123,100,0.595777737398623,0.343300457687303,TRUE,"singing_block1",10,0,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"6.96835031281332,-3.22575118625373","0.595777737398621","0.343300457687303","last3",11
"84india6",1190,2,"custom_trial",565,"110india6","low",0,63.4563093838127,67.4937581225066,63.6883111397482,59.4741240923504,3,-3.80544698275836,-4.21418704739781,67.7556285285158,62.1679092380051,58.9355228727591,3,-5.58771929051065,-3.232386365246,4.2993191447031,-1.28840014580755,-4.52078651105355,TRUE,"3,3,0.261870406009166,-1.52040190174312,-0.538601219591314,-0.599044238441756,1.52040190174312,0.94344922599872,-1.78227230775229,0.981800682151807,-0.40023581280024,1.78227230775229,1.4388236789917,100",1.52040190174312,1.78227230775229,100,0.94344922599872,1.4388236789917,TRUE,"singing_block1",10,0,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"-5.58771929051065,-3.232386365246","0.94344922599872","1.4388236789917","first3",11
"84india6",1215,4,"custom_trial",574,"107india6","low",0,62.6686210884674,61.2117825425694,69.613157102402,61.2522571936628,3,8.40137455983267,-8.36089990873926,60.8537003668255,69.4173081910149,60.2699473064046,3,8.5636078241894,-9.1473608846103,-1.81492072164186,6.74868710254754,-2.39867378206277,TRUE,"3,3,-0.358082175743831,-0.195848911387102,-0.982309887258147,-0.51208032479636,0.982309887258147,0.614142316644946,0.162233264356729,-0.786460975871044,-0.312113855757158,0.786460975871044,0.567820613676483,100",0.982309887258147,0.786460975871044,100,0.614142316644946,0.567820613676483,TRUE,"singing_block1",10,0,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"8.5636078241894,-9.1473608846103","0.614142316644946","0.567820613676483","middle",11
"67india6",1039,6,"custom_trial",512,"93india6","low",0,60.1747591082948,54.0495121101301,66.1087685480409,61.966710647386,3,12.0592564379108,-4.14205790065492,55.6690887296781,66.0869010618082,61.6820021144612,3,10.4178123321302,-4.40489894734699,-4.50567037861671,5.91214195351344,1.50724300616645,TRUE,"3,3,1.61957661954794,-0.0218674862326651,-0.284708532924739,0.437666866796846,1.61957661954794,0.949485046794776,-1.64144410578061,-0.262841046692074,-0.952142576236341,1.64144410578061,1.17546249796156,100",1.61957661954794,1.64144410578061,100,0.949485046794776,1.17546249796156,TRUE,"singing_block1",11,1,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"10.4178123321302,-4.40489894734699","0.949485046794776","1.17546249796156","middle",11
"67india6",1025,4,"custom_trial",506,"92india6","low",0,58.5361997155365,54.8255390450779,52.1536121628862,62.5921950187767,3,-2.6719268821917,10.4385828558904,56.3633734833311,54.1145129634795,63.5352753689407,3,-2.24886051985165,9.4207624054612,-2.17282623220533,-4.42168675205698,4.99907565340422,TRUE,"3,3,1.53783443825322,1.96090080059327,0.943080350164024,1.48060519633684,1.96090080059327,1.53833971715293,0.423066362340052,-1.01782045042925,-0.297377044044598,1.01782045042925,0.779404778101739,100",1.96090080059327,1.01782045042925,100,1.53833971715293,0.779404778101739,TRUE,"singing_block1",12,2,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"-2.24886051985165,9.4207624054612","1.53833971715293","0.779404778101739","middle",11
"110india6",1595,7,"custom_trial",830,"154india6","high",0,62.5573992477833,72.1404809965834,64.8530770506884,58.7226519226901,3,-7.28740394589498,-6.13042512799832,70.3930326547695,61.5979842056192,57.2494754118969,3,-8.79504844915033,-4.3485087937223,7.83563340698623,-0.959415042164103,-5.3079238358864,TRUE,"3,3,-1.74744834181385,-3.2550928450692,-1.47317651079317,-2.15857256589207,3.2550928450692,2.29633433753896,-1.50764450325535,1.78191633427603,0.137135915510338,1.78191633427603,1.65048746898542,100",3.2550928450692,1.78191633427603,100,2.29633433753896,1.65048746898542,TRUE,"singing_block1",14,4,NA,NA,61.4772827159961,"high","high",10,4.428571,3,34,"female",2,"-8.79504844915033,-4.3485087937223","2.29633433753896","1.65048746898542","middle",11
"67india6",1028,4,"custom_trial",504,"95india6","low",0,61.3371454660603,56.1323585574428,62.7436469889554,54.2363596700257,3,6.61128843151266,-8.50728731892967,55.3511060720299,62.9627874523185,54.4855076404551,3,7.61168138028859,-8.47727981186333,-5.98603939403041,1.62564198625817,-6.85163782560516,TRUE,"3,3,-0.781252485412892,0.219140463363033,0.24914797042937,-0.104321350540163,0.781252485412892,0.490051935960486,1.00039294877593,0.0300075070663368,0.515200227921131,1.00039294877593,0.707702798652417,100",0.781252485412892,1.00039294877593,100,0.490051935960486,0.707702798652417,TRUE,"singing_block1",11,1,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"7.61168138028859,-8.47727981186333","0.490051935960486","0.707702798652417","middle",11
"67india6",1033,5,"custom_trial",507,"93india6","low",0,61.4960758955619,55.6773401754321,68.1996867589002,64.0026734577909,3,12.5223465834681,-4.19701330110934,55.3708288973972,67.430085335308,63.2880274346531,3,12.0592564379108,-4.14205790065491,-6.12524699816466,5.9340094397461,1.79195153909119,TRUE,"3,3,-0.306511278034868,-0.769601423592242,-0.714646023137817,-0.596919574921642,0.769601423592242,0.631652450098014,-0.463090145557373,0.0549554004544248,-0.204067372551474,0.463090145557373,0.329751860458327,100",0.769601423592242,0.463090145557373,100,0.631652450098014,0.329751860458327,TRUE,"singing_block1",11,1,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"12.0592564379108,-4.14205790065492","0.631652450098011","0.329751860458327","middle",11
"84india6",1191,1,"custom_trial",562,"109india6","low",0,59.5350672876383,49.5877488122797,54.0596132770616,62.066131184567,3,4.47186446478187,8.00651790750538,55.8114056529687,59.1444619772568,61.7508122669084,3,3.33305632428801,2.60635028965162,-3.72366163466959,-0.390605310381581,2.21574497927003,TRUE,"3,3,6.22365684068903,5.08484870019517,-0.315318917658601,3.6643955410752,6.22365684068903,4.64359834590824,-1.13880814049386,-5.40016761785377,-3.26948787917382,5.40016761785377,3.90247961441002,100",6.22365684068903,5.40016761785377,100,4.64359834590824,3.90247961441002,TRUE,"singing_block1",13,3,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"3.33305632428801,2.60635028965162","4.64359834590824","3.90247961441002","first3",11
"113india6",1701,10,"custom_trial",941,"180india6","low",0,62.2475026330271,63.4149281923512,59.5921893976312,63.5378882482317,3,-3.82273879472,3.94569885060054,62.6622165190391,58.5261059570734,63.4890151635845,3,-4.13611056196574,4.96290920651109,0.414713886012045,-3.7213966759537,1.24151253055739,TRUE,"3,3,-0.752711673312064,-1.0660834405578,-0.0488730846472549,-0.622556066172374,1.0660834405578,0.753988802696422,-0.313371767245741,1.01721035591055,0.351919294332404,1.01721035591055,0.7526349622089,100",1.0660834405578,1.01721035591055,100,0.753988802696422,0.7526349622089,TRUE,"singing_block1",10,0,NA,NA,48.9744776643621,"low","low",7,4.428571,3.571429,34,"male",3,"-4.13611056196574,4.96290920651109","0.753988802696422","0.7526349622089","last3",11
"67india6",1036,5,"custom_trial",510,"95india6","low",0,61.6285427531011,55.6425033590707,63.2541847393593,54.776904927496,3,7.61168138028859,-8.47727981186333,56.0081980368318,63.3327969291513,54.7535033760389,3,7.32459889231951,-8.57929355311235,-5.62034471626935,1.70425417605016,-6.87503937706219,TRUE,"3,3,0.365694677761063,0.0786121897919898,-0.0234015514570274,0.140301772032008,0.365694677761063,0.216379378513184,-0.287082487969073,-0.102013741249017,-0.194548114609045,0.287082487969073,0.215433468038435,100",0.365694677761063,0.287082487969073,100,0.216379378513184,0.215433468038435,TRUE,"singing_block1",11,1,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"7.32459889231951,-8.57929355311235","0.216379378513184","0.215433468038435","middle",11
"67india6",1035,5,"custom_trial",509,"92india6","low",0,60.5827482468974,58.4099220146921,56.1610614948404,65.5818239003016,3,-2.24886051985165,9.4207624054612,56.8341042544732,55.26051672408,64.9906513046612,3,-1.57358753039312,9.73013458058115,-3.74864399242424,-5.32223152281736,4.40790305776379,TRUE,"3,3,-1.57581776021891,-0.900544770760384,-0.59117259564043,-1.02251170887324,1.57581776021891,1.1020688930978,0.675272989458527,0.309372175119954,0.492322582289241,0.675272989458527,0.525216504420181,100",1.57581776021891,0.675272989458527,100,1.1020688930978,0.525216504420181,TRUE,"singing_block1",12,2,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"-1.57358753039312,9.73013458058115","1.1020688930978","0.525216504420181","middle",11
"67india6",1031,5,"custom_trial",508,"94india6","low",0,58.9315289081563,58.6515484095955,64.9780554713523,60.2821870728349,3,6.32650706175682,-4.69586839851737,59.4597085086982,65.5518093590268,60.944310699335,3,6.09210085032859,-4.60749865969181,0.528179600541883,6.62028045087047,2.01278179117866,TRUE,"3,3,0.808160099102757,0.573753887674528,0.662123626500083,0.681345871092456,0.808160099102757,0.688167607048611,-0.234406211428229,0.0883697388255555,-0.073018236301337,0.234406211428229,0.177137633912493,100",0.808160099102757,0.234406211428229,100,0.688167607048611,0.177137633912493,TRUE,"singing_block1",10,0,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"6.09210085032859,-4.60749865969181","0.688167607048611","0.177137633912493","middle",11
"127india6",2117,3,"custom_trial",1266,"253india6","high",0,62.936803809629,69.6860787082391,72.8705281283235,73.5253444869155,3,3.18444942008438,0.654816358592001,68.9771296989936,71.63260153641,73.5415033085017,3,2.65547183741648,1.90890177209164,6.04032588936452,8.69579772678101,10.6046994988726,TRUE,"3,3,-0.708949009245543,-1.23792659191344,0.0161588215862025,-0.643572259857592,1.23792659191344,0.823677131767803,-0.528977582667892,1.25408541349964,0.362553915415873,1.25408541349964,0.962431168270678,100",1.23792659191344,1.25408541349964,100,0.823677131767803,0.962431168270678,TRUE,"singing_block1",11,1,NA,NA,62.0229863902997,"high","high",5,5.285714,3.142857,45,"female",1,"2.65547183741648,1.90890177209164","0.823677131767803","0.962431168270678","first3",11
"84india6",1197,2,"custom_trial",569,"109india6","low",0,59.1887169608854,55.4650553262158,58.7981116505038,61.4044619401554,3,3.33305632428801,2.60635028965162,56.1127284873174,59.3006927155783,61.5190801635541,3,3.18796422826092,2.21838744797578,-3.07598847356795,0.111975754692963,2.33036320266874,TRUE,"3,3,0.647673161101636,0.502581065074544,0.114618223398708,0.421624149858296,0.647673161101636,0.477914074465946,-0.145092096027092,-0.387962841675837,-0.266527468851464,0.387962841675837,0.29288810393282,100",0.647673161101636,0.387962841675837,100,0.477914074465946,0.29288810393282,TRUE,"singing_block1",13,3,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"3.18796422826092,2.21838744797578","0.477914074465946","0.29288810393282","first3",11
"84india6",1193,2,"custom_trial",567,"107india6","low",0,62.6134503418372,68.3751510160311,72.1167577847683,60.3249446887429,3,3.74160676873717,-11.7918130960254,62.4824300661804,70.1710057492196,60.5621344570567,3,7.68857568303913,-9.60887129216283,-0.131020275656816,7.55755540738232,-2.05131588478051,TRUE,"3,3,-5.89272094985067,-1.94575203554871,0.237189768313868,-2.53376107236184,5.89272094985067,3.58545069983509,3.94696891430196,2.18294180386258,3.06495535908227,3.94696891430196,3.18934150958445,100",5.89272094985067,3.94696891430196,100,3.58545069983509,3.18934150958445,TRUE,"singing_block1",10,0,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"7.68857568303913,-9.60887129216283","3.58545069983509","3.18934150958445","first3",11
"84india6",1194,2,"custom_trial",566,"108india6","low",0,61.6337739435159,57.4185263582726,60.3870124384188,61.9987603695108,3,2.96848608014623,1.61174793109195,56.5745498889462,59.7250420295018,62.1344705180793,3,3.15049214055553,2.40942848857756,-5.05922405456968,-1.90873191401415,0.500696574563406,TRUE,"3,3,-0.84397646932635,-0.661970408917057,0.135710148568556,-0.456745576558284,0.84397646932635,0.624211061389465,0.182006060409293,0.797680557485613,0.489843308947453,0.797680557485613,0.578541475529745,100",0.84397646932635,0.797680557485613,100,0.624211061389465,0.578541475529745,TRUE,"singing_block1",11,1,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"3.15049214055553,2.40942848857756","0.624211061389465","0.578541475529745","first3",11
"67india6",1045,6,"custom_trial",511,"94india6","low",0,62.2887647448879,62.8169443454298,68.9090451957584,64.3015465360666,3,6.09210085032859,-4.60749865969181,62.995808217157,68.7966295951411,64.6881527902279,3,5.80082137798406,-4.10847680491313,0.707043472269106,6.50786485025316,2.39938804534003,TRUE,"3,3,0.178863871727224,-0.112415600617311,0.386606254161372,0.151018175090428,0.386606254161372,0.254357981087083,-0.291279472344534,0.499021854778682,0.103871191217074,0.499021854778682,0.40857468262,100",0.386606254161372,0.499021854778682,100,0.254357981087083,0.40857468262,TRUE,"singing_block1",10,0,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"5.80082137798406,-4.10847680491312","0.254357981087086","0.40857468262","middle",11
"67india6",1042,6,"custom_trial",514,"95india6","low",0,62.5822357563988,56.9618910401295,64.286489932449,55.7071963793367,3,7.32459889231951,-8.57929355311234,56.6657735065291,63.9866888667763,54.9703074651781,3,7.3209153602472,-9.01638140159822,-5.91646224986972,1.40445311037747,-7.61192829122075,TRUE,"3,3,-0.296117533600373,-0.299801065672682,-0.736888914158563,-0.444269171143873,0.736888914158563,0.490092353369522,-0.00368353207230854,-0.437087848485881,-0.220385690279095,0.437087848485881,0.309078756713029,100",0.736888914158563,0.437087848485881,100,0.490092353369522,0.309078756713029,TRUE,"singing_block1",11,1,NA,NA,47.7343333327281,"low","low",7,5.714286,3,46,"male",1,"7.3209153602472,-9.01638140159822","0.490092353369522","0.309078756713029","middle",11
"84india6",1200,3,"custom_trial",568,"110india6","low",0,61.183077368735,65.4823965134381,59.8946772229275,56.6622908576815,3,-5.58771929051064,-3.232386365246,63.9691559862515,59.5428531992503,55.4899513175585,3,-4.42630278700125,-4.05290188169172,2.78607861751647,-1.64022416948477,-5.69312605117649,TRUE,"3,3,-1.51324052718662,-0.351824023677224,-1.17233954012294,-1.01246803032893,1.51324052718662,1.12369287531367,1.16141650350939,-0.820515516445717,0.170450493531838,1.16141650350939,1.0055182761522,100",1.51324052718662,1.16141650350939,100,1.12369287531367,1.0055182761522,TRUE,"singing_block1",10,0,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"-4.42630278700125,-4.05290188169172","1.12369287531367","1.0055182761522","first3",11
"110india6",1597,7,"custom_trial",834,"153india6","high",0,59.2784106462508,60.5947790886627,55.6469369709859,61.9460503507652,3,-4.9478421176768,6.29911337977934,59.9403039110138,55.6499205382807,61.3283937502411,3,-4.29038337273307,5.67847321196039,0.661893264762959,-3.62849010797011,2.04998310399029,TRUE,"3,3,-0.654475177648912,0.00298356729481952,-0.617656600524121,-0.423049403626071,0.654475177648912,0.519565952182971,0.657458744943732,-0.620640167818941,0.0184092885623954,0.657458744943732,0.639314562329574,100",0.654475177648912,0.657458744943732,100,0.519565952182971,0.639314562329574,TRUE,"singing_block1",11,1,NA,NA,61.4772827159961,"high","high",10,4.428571,3,34,"female",2,"-4.29038337273307,5.67847321196039","0.519565952182971","0.639314562329574","middle",11
"84india6",1218,4,"custom_trial",575,"108india6","low",0,63.3932646111054,60.3669131350536,61.3723089172913,64.4047823455359,3,1.00539578223771,3.03247342824453,59.1074465349473,62.3603484158522,64.2106384164267,3,3.25290188090498,1.85029000057445,-4.28581807615816,-1.03291619525318,0.817373805321274,TRUE,"3,3,-1.25946660010638,0.988039498560894,-0.194143929109181,-0.155190343551555,1.25946660010638,0.930979776491759,2.24750609866727,-1.18218342767008,0.532661335498599,2.24750609866727,1.79566719079627,100",1.25946660010638,2.24750609866727,100,0.930979776491759,1.79566719079627,TRUE,"singing_block1",11,1,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"3.25290188090498,1.85029000057446","0.930979776491758","1.79566719079627","middle",11
"113india6",1693,7,"custom_trial",932,"178india6","low",0,63.2310796285098,63.2095896182417,59.1944732004158,64.2633376374961,3,-4.01511641782592,5.06886443708039,62.523545528456,58.8722925745707,63.2826580379729,3,-3.65125295388536,4.41036546340221,-0.707534100053735,-4.3587870539391,0.0515784094631115,TRUE,"3,3,-0.686044089785653,-0.322180625845093,-0.98067959952327,-0.662968105051339,0.98067959952327,0.71558584989757,0.363863463940561,-0.658498973678178,-0.147317754868808,0.658498973678178,0.531985675900224,100",0.98067959952327,0.658498973678178,100,0.71558584989757,0.531985675900224,TRUE,"singing_block1",10,0,NA,NA,48.9744776643621,"low","low",7,4.428571,3.571429,34,"male",3,"-3.65125295388536,4.41036546340221","0.71558584989757","0.531985675900224","middle",11
"84india6",1204,3,"custom_trial",570,"107india6","low",0,60.4363690760948,60.3053488004379,67.9939244834771,58.3850531913142,3,7.68857568303913,-9.60887129216283,58.9795305301967,67.3809050900294,59.0200051812901,3,8.40137455983266,-8.36089990873925,-1.45683854589803,6.94453601393463,-1.41636389480462,TRUE,"3,3,-1.32581827024121,-0.613019393447686,0.634951989975896,-0.434628557904335,1.32581827024121,0.919556213982724,0.712798876793528,1.24797138342358,0.980385130108555,1.24797138342358,1.01624672511214,100",1.32581827024121,1.24797138342358,100,0.919556213982724,1.01624672511214,TRUE,"singing_block1",10,0,NA,NA,53.9700416055478,"low","low",7,4.714286,3.714286,55,"male",2,"8.40137455983266,-8.36089990873925","0.919556213982724","1.01624672511214","first3",11
